fuel_consumption,petroleum_imports_crudeOil,Taxes_on_Customs_and_Other_Import Duties,Foreign Direct Investments,GDP Goods and Services,New Vehicle Registrations,Vehicle Sales,Vehicle Sales Asia,No.of Vessels Colombo,Imports of Refined Products,Tax income profits_gains,Tax Goods & Services,Tax Road Transport,GDP FCE Households,Diesel User Price,Petrol User Price,Consumption_Oil,Sales 90 Octane,Sales 95 Octane,Sales Auto Diesel,year,month,day,weekday,quarter
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.9910749196913619,0.5860959138019509,1.4445236773546597,-1.4224204170622394,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,7,1,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.9910749196913619,0.5860959138019509,1.4445236773546597,-1.4224204170622394,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,7,8,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.9910749196913619,0.5860959138019509,1.4445236773546597,-1.4224204170622394,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,7,15,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.9910749196913619,0.5860959138019509,1.4445236773546597,-1.4224204170622394,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,7,22,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.9910749196913619,0.5860959138019509,1.4445236773546597,-1.4224204170622394,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,7,29,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.3701705791922214,0.5860959138019509,1.4445236773546597,1.0556430743718657,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,8,5,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.3701705791922214,0.5860959138019509,1.4445236773546597,1.0556430743718657,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,8,12,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.3701705791922214,0.5860959138019509,1.4445236773546597,1.0556430743718657,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,8,19,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-0.3701705791922214,0.5860959138019509,1.4445236773546597,1.0556430743718657,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,8,26,0,3
-0.4273510278249924,0.2749133243317332,0.5133786914272871,0.056072690317564455,0.08109530269332445,-1.0894152870155727,0.5860959138019509,1.4445236773546597,1.1054033854448397,-0.25499550504673135,1.2560077650924155,-0.9689999869850636,0.6556439715302245,0.46689132076123935,0.9809936064104329,1.1687363991439912,-0.9373358059926717,0.6122132075492606,0.6728456120556284,-0.8951831209674848,2013,9,2,0,3
