,Motor Vehicle Sales: Annual: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,CEIC Data
Status,Active
Series ID,380490027
SR Code,SR196965917
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/2005
Last Obs. Date,12/30/2019
Last Update Time,13/03/2020
Series remarks,The International Organization of Motor Vehicle Manufacturers provides annual Motor Vehicles Sales.
Suggestions,
Mean,204.77905491698613
Variance,23023.838108639775
Standard Deviation,151.7360804444341
Skewness,1.7778127332220466
Kurtosis,3.198694251051666
Coefficient Variation,0.7409746104451223
Min,57.69230769230769
Max,671.1538461538462
Median,179.24528301886792
Sum,
Subtract,
11/07/2005,76.9230769230769
11/14/2005,76.9230769230769
11/21/2005,76.9230769230769
11/28/2005,76.9230769230769
12/05/2005,76.9230769230769
12/12/2005,76.9230769230769
12/19/2005,76.9230769230769
12/26/2005,76.9230769230769
01/02/2006,80.7692307692308
01/09/2006,80.7692307692308
01/16/2006,80.7692307692308
01/23/2006,80.7692307692308
01/30/2006,80.7692307692308
02/06/2006,80.7692307692308
02/13/2006,80.7692307692308
02/20/2006,80.7692307692308
02/27/2006,80.7692307692308
03/06/2006,80.7692307692308
03/13/2006,80.7692307692308
03/20/2006,80.7692307692308
03/27/2006,80.7692307692308
04/03/2006,80.7692307692308
04/10/2006,80.7692307692308
04/17/2006,80.7692307692308
04/24/2006,80.7692307692308
05/01/2006,80.7692307692308
05/08/2006,80.7692307692308
05/15/2006,80.7692307692308
05/22/2006,80.7692307692308
05/29/2006,80.7692307692308
06/05/2006,80.7692307692308
06/12/2006,80.7692307692308
06/19/2006,80.7692307692308
06/26/2006,80.7692307692308
07/03/2006,80.7692307692308
07/10/2006,80.7692307692308
07/17/2006,80.7692307692308
07/24/2006,80.7692307692308
07/31/2006,80.7692307692308
08/07/2006,80.7692307692308
08/14/2006,80.7692307692308
08/21/2006,80.7692307692308
08/28/2006,80.7692307692308
09/04/2006,80.7692307692308
09/11/2006,80.7692307692308
09/18/2006,80.7692307692308
09/25/2006,80.7692307692308
10/02/2006,80.7692307692308
10/09/2006,80.7692307692308
10/16/2006,80.7692307692308
10/23/2006,80.7692307692308
10/30/2006,80.7692307692308
11/06/2006,80.7692307692308
11/13/2006,80.7692307692308
11/20/2006,80.7692307692308
11/27/2006,80.7692307692308
12/04/2006,80.7692307692308
12/11/2006,80.7692307692308
12/18/2006,80.7692307692308
12/25/2006,80.7692307692308
01/01/2007,88.6792452830189
01/08/2007,88.6792452830189
