,Total Greenhouse Gas Emissions: Tonnes of CO2 Equivalent per Year: Transport
5/31/1982,0.043745442
6/7/1982,0.043745442
6/14/1982,0.043745442
6/21/1982,0.043745442
6/28/1982,0.043745442
7/5/1982,0.043745442
7/12/1982,0.043745442
7/19/1982,0.043745442
7/26/1982,0.043745442
8/2/1982,0.043745442
8/9/1982,0.043745442
8/16/1982,0.043745442
8/23/1982,0.043745442
8/30/1982,0.043745442
9/6/1982,0.043745442
9/13/1982,0.043745442
9/20/1982,0.043745442
9/27/1982,0.043745442
10/4/1982,0.043745442
10/11/1982,0.043745442
10/18/1982,0.043745442
10/25/1982,0.043745442
11/1/1982,0.043745442
11/8/1982,0.043745442
11/15/1982,0.043745442
11/22/1982,0.043745442
11/29/1982,0.043745442
12/6/1982,0.043745442
12/13/1982,0.043745442
12/20/1982,0.043745442
12/27/1982,0.043745442
1/3/1983,0.041572462
1/10/1983,0.041572462
1/17/1983,0.041572462
1/24/1983,0.041572462
1/31/1983,0.041572462
2/7/1983,0.041572462
2/14/1983,0.041572462
2/21/1983,0.041572462
2/28/1983,0.041572462
3/7/1983,0.041572462
3/14/1983,0.041572462
3/21/1983,0.041572462
3/28/1983,0.041572462
4/4/1983,0.041572462
4/11/1983,0.041572462
4/18/1983,0.041572462
4/25/1983,0.041572462
5/2/1983,0.041572462
5/9/1983,0.041572462
5/16/1983,0.041572462
5/23/1983,0.041572462
5/30/1983,0.041572462
6/6/1983,0.041572462
6/13/1983,0.041572462
6/20/1983,0.041572462
6/27/1983,0.041572462
7/4/1983,0.041572462
7/11/1983,0.041572462
7/18/1983,0.041572462
7/25/1983,0.041572462
8/1/1983,0.041572462
8/8/1983,0.041572462
8/15/1983,0.041572462
8/22/1983,0.041572462
8/29/1983,0.041572462
9/5/1983,0.041572462
9/12/1983,0.041572462
9/19/1983,0.041572462
9/26/1983,0.041572462
10/3/1983,0.041572462
10/10/1983,0.041572462
10/17/1983,0.041572462
10/24/1983,0.041572462
10/31/1983,0.041572462
11/7/1983,0.041572462
11/14/1983,0.041572462
11/21/1983,0.041572462
11/28/1983,0.041572462
12/5/1983,0.041572462
12/12/1983,0.041572462
12/19/1983,0.041572462
12/26/1983,0.041572462
1/2/1984,0.045631888
1/9/1984,0.045631888
1/16/1984,0.045631888
1/23/1984,0.045631888
1/30/1984,0.045631888
2/6/1984,0.045631888
2/13/1984,0.045631888
2/20/1984,0.045631888
2/27/1984,0.045631888
3/5/1984,0.045631888
3/12/1984,0.045631888
3/19/1984,0.045631888
3/26/1984,0.045631888
4/2/1984,0.045631888
4/9/1984,0.045631888
4/16/1984,0.045631888
4/23/1984,0.045631888
4/30/1984,0.045631888
5/7/1984,0.045631888
5/14/1984,0.045631888
5/21/1984,0.045631888
5/28/1984,0.045631888
6/4/1984,0.045631888
6/11/1984,0.045631888
6/18/1984,0.045631888
6/25/1984,0.045631888
7/2/1984,0.045631888
7/9/1984,0.045631888
7/16/1984,0.045631888
7/23/1984,0.045631888
7/30/1984,0.045631888
8/6/1984,0.045631888
8/13/1984,0.045631888
8/20/1984,0.045631888
8/27/1984,0.045631888
9/3/1984,0.045631888
9/10/1984,0.045631888
9/17/1984,0.045631888
9/24/1984,0.045631888
10/1/1984,0.045631888
10/8/1984,0.045631888
10/15/1984,0.045631888
10/22/1984,0.045631888
10/29/1984,0.045631888
11/5/1984,0.045631888
11/12/1984,0.045631888
11/19/1984,0.045631888
11/26/1984,0.045631888
12/3/1984,0.045631888
12/10/1984,0.045631888
12/17/1984,0.045631888
12/24/1984,0.045631888
12/31/1984,0.045631888
1/7/1985,0.04857873
1/14/1985,0.04857873
1/21/1985,0.04857873
1/28/1985,0.04857873
2/4/1985,0.04857873
2/11/1985,0.04857873
2/18/1985,0.04857873
2/25/1985,0.04857873
3/4/1985,0.04857873
3/11/1985,0.04857873
3/18/1985,0.04857873
3/25/1985,0.04857873
4/1/1985,0.04857873
