,PPI: Manufacturing: Coke & Refined Petroleum Products
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,4Q2018=100
Source,Department of Census and Statistics
Status,Active
Series ID,474725307 (LIXGVAAAAAAAFF)
SR Code,SR158229157
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,11/25/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,30.18248256959578
Variance,424.6357798628233
Standard Deviation,20.606692598833597
Skewness,1.4393294533994974
Kurtosis,1.0662694434707296
Coefficient Variation,0.682736834232174
Min,8.747617631999999
Max,100.8
Median,23.133102175
Sum,
Subtract,
12/15/2014,18.467037676
12/22/2014,18.467037676
12/29/2014,18.467037676
01/05/2015,23.083797095
01/12/2015,23.083797095
01/19/2015,23.083797095
01/26/2015,23.083797095
02/02/2015,20.08577601
02/09/2015,20.08577601
02/16/2015,20.08577601
02/23/2015,20.08577601
03/02/2015,16.068620808
03/09/2015,16.068620808
03/16/2015,16.068620808
03/23/2015,16.068620808
03/30/2015,16.068620808
04/06/2015,20.08577601
04/13/2015,20.08577601
04/20/2015,20.08577601
04/27/2015,20.08577601
05/04/2015,20.08577601
05/11/2015,20.08577601
05/18/2015,20.08577601
05/25/2015,20.08577601
06/01/2015,16.068620808
06/08/2015,16.068620808
06/15/2015,16.068620808
06/22/2015,16.068620808
06/29/2015,16.068620808
07/06/2015,19.57511071
07/13/2015,19.57511071
07/20/2015,19.57511071
07/27/2015,19.57511071
08/03/2015,15.660088568
08/10/2015,15.660088568
08/17/2015,15.660088568
08/24/2015,15.660088568
08/31/2015,15.660088568
09/07/2015,19.57511071
09/14/2015,19.57511071
09/21/2015,19.57511071
09/28/2015,19.57511071
10/05/2015,14.719620035
10/12/2015,14.719620035
10/19/2015,14.719620035
10/26/2015,14.719620035
11/02/2015,12.11460276
11/09/2015,12.11460276
11/16/2015,12.11460276
11/23/2015,12.11460276
11/30/2015,12.11460276
12/07/2015,15.14325345
12/14/2015,15.14325345
12/21/2015,15.14325345
12/28/2015,15.14325345
01/04/2016,12.7389595325
01/11/2016,12.7389595325
01/18/2016,12.7389595325
01/25/2016,12.7389595325
02/01/2016,10.898525664
02/08/2016,10.898525664
02/15/2016,10.898525664
02/22/2016,10.898525664
02/29/2016,10.898525664
03/07/2016,12.0628059525
03/14/2016,12.0628059525
03/21/2016,12.0628059525
03/28/2016,12.0628059525
04/04/2016,12.0858086725
04/11/2016,12.0858086725
04/18/2016,12.0858086725
04/25/2016,12.0858086725
05/02/2016,10.320390652
05/09/2016,10.320390652
05/16/2016,10.320390652
05/23/2016,10.320390652
05/30/2016,10.320390652
06/06/2016,14.6276091575
06/13/2016,14.6276091575
06/20/2016,14.6276091575
06/27/2016,14.6276091575
07/04/2016,15.70563436
07/11/2016,15.70563436
07/18/2016,15.70563436
07/25/2016,15.70563436
