,GDP: Goods & Services: Imports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495106047 (LAZAAABBAAABCQ)
SR Code,SR173549797
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Goods &amp; Services: Imports {375580007} [SPLICE(GDP: Goods &amp; Services: Imports {495106047}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,73549.58534077567
Variance,676548323.6174045
Standard Deviation,26010.542547540303
Skewness,0.6242244815369514
Kurtosis,-0.4801351062655477
Coefficient Variation,0.35364635200900496
Min,31635.44236825756
Max,128081.42179788715
Median,70048.32157048384
Sum,
Subtract,
09/27/2010,31879.7134392052
10/04/2010,36630.0640206168
10/11/2010,36630.0640206168
10/18/2010,36630.0640206168
10/25/2010,36630.0640206168
11/01/2010,36630.0640206168
11/08/2010,36630.0640206168
11/15/2010,36630.0640206168
11/22/2010,36630.0640206168
11/29/2010,36630.0640206168
12/06/2010,36630.0640206168
12/13/2010,36630.0640206168
12/20/2010,36630.0640206168
12/27/2010,36630.0640206168
01/03/2011,42460.933116624
01/10/2011,42460.933116624
01/17/2011,42460.933116624
01/24/2011,42460.933116624
01/31/2011,42460.933116624
02/07/2011,42460.933116624
02/14/2011,42460.933116624
02/21/2011,42460.933116624
02/28/2011,42460.933116624
03/07/2011,42460.933116624
03/14/2011,42460.933116624
03/21/2011,42460.933116624
03/28/2011,42460.933116624
04/04/2011,44909.0577342976
04/11/2011,44909.0577342976
04/18/2011,44909.0577342976
04/25/2011,44909.0577342976
05/02/2011,44909.0577342976
05/09/2011,44909.0577342976
05/16/2011,44909.0577342976
05/23/2011,44909.0577342976
05/30/2011,44909.0577342976
06/06/2011,44909.0577342976
06/13/2011,44909.0577342976
06/20/2011,44909.0577342976
06/27/2011,44909.0577342976
07/04/2011,49643.2600464164
07/11/2011,49643.2600464164
07/18/2011,49643.2600464164
07/25/2011,49643.2600464164
08/01/2011,49643.2600464164
08/08/2011,49643.2600464164
08/15/2011,49643.2600464164
08/22/2011,49643.2600464164
08/29/2011,49643.2600464164
09/05/2011,49643.2600464164
09/12/2011,49643.2600464164
09/19/2011,49643.2600464164
09/26/2011,49643.2600464164
10/03/2011,52281.3554334984
10/10/2011,52281.3554334984
10/17/2011,52281.3554334984
