,Adjusted Savings: Carbon Dioxide Damage
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD mn
Source,World Bank
Status,Active
Series ID,268441702
SR Code,SR5444103
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,19/12/2023
Series remarks,"Cost of damage due to carbon dioxide emissions from fossil fuel use and the manufacture of cement, estimated to be US$40 per ton of CO2 (the unit damage in 2017 US dollars for CO2 emitted in 2020) times the number of tons of CO2 emitted.;World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.;;"
Suggestions,
Mean,7.512237900125779
Variance,34.175314854342695
Standard Deviation,5.845965690486277
Skewness,0.8770491442692123
Kurtosis,-0.40411583817369534
Coefficient Variation,0.7781923001118477
Min,0.8779543418867924
Max,21.227391911153845
Median,6.255040609615384
Sum,
Subtract,
09/17/1990,0.87795434188679
09/24/1990,0.87795434188679
10/01/1990,0.87795434188679
10/08/1990,0.87795434188679
10/15/1990,0.87795434188679
10/22/1990,0.87795434188679
10/29/1990,0.87795434188679
11/05/1990,0.87795434188679
11/12/1990,0.87795434188679
11/19/1990,0.87795434188679
11/26/1990,0.87795434188679
12/03/1990,0.87795434188679
12/10/1990,0.87795434188679
12/17/1990,0.87795434188679
12/24/1990,0.87795434188679
12/31/1990,0.87795434188679
01/07/1991,0.982863875
01/14/1991,0.982863875
01/21/1991,0.982863875
01/28/1991,0.982863875
02/04/1991,0.982863875
02/11/1991,0.982863875
02/18/1991,0.982863875
02/25/1991,0.982863875
03/04/1991,0.982863875
03/11/1991,0.982863875
03/18/1991,0.982863875
03/25/1991,0.982863875
04/01/1991,0.982863875
04/08/1991,0.982863875
04/15/1991,0.982863875
04/22/1991,0.982863875
04/29/1991,0.982863875
05/06/1991,0.982863875
05/13/1991,0.982863875
05/20/1991,0.982863875
05/27/1991,0.982863875
06/03/1991,0.982863875
06/10/1991,0.982863875
06/17/1991,0.982863875
06/24/1991,0.982863875
07/01/1991,0.982863875
07/08/1991,0.982863875
07/15/1991,0.982863875
07/22/1991,0.982863875
07/29/1991,0.982863875
08/05/1991,0.982863875
08/12/1991,0.982863875
08/19/1991,0.982863875
08/26/1991,0.982863875
09/02/1991,0.982863875
09/09/1991,0.982863875
09/16/1991,0.982863875
09/23/1991,0.982863875
09/30/1991,0.982863875
10/07/1991,0.982863875
10/14/1991,0.982863875
10/21/1991,0.982863875
10/28/1991,0.982863875
11/04/1991,0.982863875
11/11/1991,0.982863875
11/18/1991,0.982863875
11/25/1991,0.982863875
12/02/1991,0.982863875
12/09/1991,0.982863875
12/16/1991,0.982863875
12/23/1991,0.982863875
12/30/1991,0.982863875
01/06/1992,1.35247482461538
01/13/1992,1.35247482461538
01/20/1992,1.35247482461538
01/27/1992,1.35247482461538
02/03/1992,1.35247482461538
02/10/1992,1.35247482461538
02/17/1992,1.35247482461538
02/24/1992,1.35247482461538
03/02/1992,1.35247482461538
03/09/1992,1.35247482461538
03/16/1992,1.35247482461538
03/23/1992,1.35247482461538
03/30/1992,1.35247482461538
04/06/1992,1.35247482461538
04/13/1992,1.35247482461538
04/20/1992,1.35247482461538
04/27/1992,1.35247482461538
05/04/1992,1.35247482461538
05/11/1992,1.35247482461538
05/18/1992,1.35247482461538
05/25/1992,1.35247482461538
06/01/1992,1.35247482461538
06/08/1992,1.35247482461538
06/15/1992,1.35247482461538
06/22/1992,1.35247482461538
06/29/1992,1.35247482461538
07/06/1992,1.35247482461538
07/13/1992,1.35247482461538
07/20/1992,1.35247482461538
07/27/1992,1.35247482461538
08/03/1992,1.35247482461538
08/10/1992,1.35247482461538
08/17/1992,1.35247482461538
08/24/1992,1.35247482461538
08/31/1992,1.35247482461538
09/07/1992,1.35247482461538
09/14/1992,1.35247482461538
09/21/1992,1.35247482461538
09/28/1992,1.35247482461538
10/05/1992,1.35247482461538
10/12/1992,1.35247482461538
10/19/1992,1.35247482461538
10/26/1992,1.35247482461538
11/02/1992,1.35247482461538
11/09/1992,1.35247482461538
11/16/1992,1.35247482461538
11/23/1992,1.35247482461538
11/30/1992,1.35247482461538
12/07/1992,1.35247482461538
12/14/1992,1.35247482461538
12/21/1992,1.35247482461538
12/28/1992,1.35247482461538
01/04/1993,1.37254037730769
01/11/1993,1.37254037730769
01/18/1993,1.37254037730769
01/25/1993,1.37254037730769
02/01/1993,1.37254037730769
02/08/1993,1.37254037730769
02/15/1993,1.37254037730769
02/22/1993,1.37254037730769
03/01/1993,1.37254037730769
03/08/1993,1.37254037730769
03/15/1993,1.37254037730769
03/22/1993,1.37254037730769
03/29/1993,1.37254037730769
04/05/1993,1.37254037730769
04/12/1993,1.37254037730769
04/19/1993,1.37254037730769
04/26/1993,1.37254037730769
05/03/1993,1.37254037730769
05/10/1993,1.37254037730769
05/17/1993,1.37254037730769
05/24/1993,1.37254037730769
05/31/1993,1.37254037730769
06/07/1993,1.37254037730769
06/14/1993,1.37254037730769
06/21/1993,1.37254037730769
06/28/1993,1.37254037730769
07/05/1993,1.37254037730769
07/12/1993,1.37254037730769
07/19/1993,1.37254037730769
07/26/1993,1.37254037730769
08/02/1993,1.37254037730769
08/09/1993,1.37254037730769
08/16/1993,1.37254037730769
08/23/1993,1.37254037730769
08/30/1993,1.37254037730769
09/06/1993,1.37254037730769
09/13/1993,1.37254037730769
09/20/1993,1.37254037730769
09/27/1993,1.37254037730769
10/04/1993,1.37254037730769
10/11/1993,1.37254037730769
10/18/1993,1.37254037730769
10/25/1993,1.37254037730769
11/01/1993,1.37254037730769
