,GDP: Gross National Income
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,505766057 (LAZAAABBAAABGF)
SR Code,SR201148097
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Gross National Income {368704357} [SPLICE(GDP: Gross National Income {505766057}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,17/12/2024
Series remarks,
Suggestions,
Mean,282952.44400477887
Variance,14855940743.513084
Standard Deviation,121884.94879809026
Skewness,0.9344360838705482
Kurtosis,-0.024069388919615964
Coefficient Variation,0.43076125115933517
Min,115148.6183682216
Max,595908.7692307692
Median,250893.23076923078
Sum,
Subtract,
10/18/2010,149208.446521048
10/25/2010,149208.446521048
11/01/2010,149208.446521048
11/08/2010,149208.446521048
11/15/2010,149208.446521048
11/22/2010,149208.446521048
11/29/2010,149208.446521048
12/06/2010,149208.446521048
12/13/2010,149208.446521048
12/20/2010,149208.446521048
12/27/2010,149208.446521048
01/03/2011,140663.186998009
01/10/2011,140663.186998009
01/17/2011,140663.186998009
01/24/2011,140663.186998009
01/31/2011,140663.186998009
02/07/2011,140663.186998009
02/14/2011,140663.186998009
02/21/2011,140663.186998009
02/28/2011,140663.186998009
03/07/2011,140663.186998009
03/14/2011,140663.186998009
03/21/2011,140663.186998009
03/28/2011,140663.186998009
04/04/2011,142146.793359441
04/11/2011,142146.793359441
04/18/2011,142146.793359441
04/25/2011,142146.793359441
05/02/2011,142146.793359441
05/09/2011,142146.793359441
05/16/2011,142146.793359441
05/23/2011,142146.793359441
05/30/2011,142146.793359441
06/06/2011,142146.793359441
06/13/2011,142146.793359441
06/20/2011,142146.793359441
06/27/2011,142146.793359441
07/04/2011,150974.766208005
07/11/2011,150974.766208005
07/18/2011,150974.766208005
07/25/2011,150974.766208005
08/01/2011,150974.766208005
08/08/2011,150974.766208005
08/15/2011,150974.766208005
08/22/2011,150974.766208005
08/29/2011,150974.766208005
09/05/2011,150974.766208005
09/12/2011,150974.766208005
09/19/2011,150974.766208005
09/26/2011,150974.766208005
10/03/2011,155131.171211247
10/10/2011,155131.171211247
10/17/2011,155131.171211247
10/24/2011,155131.171211247
10/31/2011,155131.171211247
11/07/2011,155131.171211247
11/14/2011,155131.171211247
11/21/2011,155131.171211247
11/28/2011,155131.171211247
12/05/2011,155131.171211247
12/12/2011,155131.171211247
12/19/2011,155131.171211247
12/26/2011,155131.171211247
01/02/2012,173061.013467409
01/09/2012,173061.013467409
01/16/2012,173061.013467409
01/23/2012,173061.013467409
01/30/2012,173061.013467409
02/06/2012,173061.013467409
02/13/2012,173061.013467409
02/20/2012,173061.013467409
02/27/2012,173061.013467409
03/05/2012,173061.013467409
03/12/2012,173061.013467409
03/19/2012,173061.013467409
03/26/2012,173061.013467409
04/02/2012,170531.507881003
04/09/2012,170531.507881003
04/16/2012,170531.507881003
04/23/2012,170531.507881003
04/30/2012,170531.507881003
05/07/2012,170531.507881003
05/14/2012,170531.507881003
05/21/2012,170531.507881003
05/28/2012,170531.507881003
06/04/2012,170531.507881003
06/11/2012,170531.507881003
06/18/2012,170531.507881003
06/25/2012,170531.507881003
07/02/2012,176030.533381505
07/09/2012,176030.533381505
07/16/2012,176030.533381505
07/23/2012,176030.533381505
07/30/2012,176030.533381505
08/06/2012,176030.533381505
08/13/2012,176030.533381505
08/20/2012,176030.533381505
08/27/2012,176030.533381505
09/03/2012,176030.533381505
09/10/2012,176030.533381505
09/17/2012,176030.533381505
09/24/2012,176030.533381505
10/01/2012,173797.331183259
10/08/2012,173797.331183259
10/15/2012,173797.331183259
10/22/2012,173797.331183259
10/29/2012,173797.331183259
11/05/2012,173797.331183259
11/12/2012,173797.331183259
11/19/2012,173797.331183259
11/26/2012,173797.331183259
12/03/2012,173797.331183259
12/10/2012,173797.331183259
12/17/2012,173797.331183259
12/24/2012,173797.331183259
12/31/2012,173797.331183259
01/07/2013,209464.954777908
01/14/2013,209464.954777908
01/21/2013,209464.954777908
01/28/2013,209464.954777908
02/04/2013,209464.954777908
02/11/2013,209464.954777908
02/18/2013,209464.954777908
02/25/2013,209464.954777908
03/04/2013,209464.954777908
03/11/2013,209464.954777908
03/18/2013,209464.954777908
03/25/2013,209464.954777908
04/01/2013,189035.923153453
04/08/2013,189035.923153453
04/15/2013,189035.923153453
04/22/2013,189035.923153453
04/29/2013,189035.923153453
05/06/2013,189035.923153453
05/13/2013,189035.923153453
05/20/2013,189035.923153453
05/27/2013,189035.923153453
06/03/2013,189035.923153453
06/10/2013,189035.923153453
06/17/2013,189035.923153453
06/24/2013,189035.923153453
07/01/2013,181180.778664718
07/08/2013,181180.778664718
07/15/2013,181180.778664718
07/22/2013,181180.778664718
07/29/2013,181180.778664718
08/05/2013,181180.778664718
08/12/2013,181180.778664718
08/19/2013,181180.778664718
08/26/2013,181180.778664718
09/02/2013,181180.778664718
09/09/2013,181180.778664718
09/16/2013,181180.778664718
09/23/2013,181180.778664718
09/30/2013,181180.778664718
10/07/2013,194252.812126238
10/14/2013,194252.812126238
10/21/2013,194252.812126238
10/28/2013,194252.812126238
11/04/2013,194252.812126238
11/11/2013,194252.812126238
11/18/2013,194252.812126238
11/25/2013,194252.812126238
12/02/2013,194252.812126238
12/09/2013,194252.812126238
12/16/2013,194252.812126238
12/23/2013,194252.812126238
12/30/2013,194252.812126238
01/06/2014,201243.107159048
01/13/2014,201243.107159048
01/20/2014,201243.107159048
01/27/2014,201243.107159048
02/03/2014,201243.107159048
02/10/2014,201243.107159048
02/17/2014,201243.107159048
02/24/2014,201243.107159048
03/03/2014,201243.107159048
03/10/2014,201243.107159048
03/17/2014,201243.107159048
03/24/2014,201243.107159048
03/31/2014,201243.107159048
04/07/2014,200820.149566533
04/14/2014,200820.149566533
04/21/2014,200820.149566533
04/28/2014,200820.149566533
05/05/2014,200820.149566533
05/12/2014,200820.149566533
05/19/2014,200820.149566533
