,HIES: Household Income per Month
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR
Source,Department of Census and Statistics
Status,Active
Series ID,237796302 (LHAABD)
SR Code,SR6739520
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,07/07/1980
Last Obs. Date,06/24/2019
Last Update Time,08/11/2021
Series remarks,
Suggestions,
Mean,511.40488656195345
Variance,224226.3667419663
Standard Deviation,473.5254657797892
Skewness,0.7429873407183416
Kurtosis,-0.7121404243388629
Coefficient Variation,0.9259306632034393
Min,16.942307692307693
Max,1469.5
Median,
Sum,
Subtract,
05/25/1981,16.9423076923077
06/01/1981,16.9423076923077
06/08/1981,16.9423076923077
06/15/1981,16.9423076923077
06/22/1981,16.9423076923077
06/29/1981,16.9423076923077
07/01/1985,37.9622641509434
07/08/1985,37.9622641509434
07/15/1985,37.9622641509434
07/22/1985,37.9622641509434
07/29/1985,37.9622641509434
08/05/1985,37.9622641509434
08/12/1985,37.9622641509434
08/19/1985,37.9622641509434
08/26/1985,37.9622641509434
09/02/1985,37.9622641509434
09/09/1985,37.9622641509434
09/16/1985,37.9622641509434
09/23/1985,37.9622641509434
09/30/1985,37.9622641509434
10/07/1985,37.9622641509434
10/14/1985,37.9622641509434
10/21/1985,37.9622641509434
10/28/1985,37.9622641509434
11/04/1985,37.9622641509434
11/11/1985,37.9622641509434
11/18/1985,37.9622641509434
11/25/1985,37.9622641509434
12/02/1985,37.9622641509434
12/09/1985,37.9622641509434
12/16/1985,37.9622641509434
12/23/1985,37.9622641509434
12/30/1985,37.9622641509434
01/06/1986,37.9622641509434
01/13/1986,37.9622641509434
01/20/1986,37.9622641509434
01/27/1986,37.9622641509434
02/03/1986,37.9622641509434
02/10/1986,37.9622641509434
02/17/1986,37.9622641509434
02/24/1986,37.9622641509434
03/03/1986,37.9622641509434
03/10/1986,37.9622641509434
03/17/1986,37.9622641509434
03/24/1986,37.9622641509434
03/31/1986,37.9622641509434
04/07/1986,37.9622641509434
04/14/1986,37.9622641509434
04/21/1986,37.9622641509434
04/28/1986,37.9622641509434
05/05/1986,37.9622641509434
05/12/1986,37.9622641509434
05/19/1986,37.9622641509434
05/26/1986,37.9622641509434
06/02/1986,37.9622641509434
06/09/1986,37.9622641509434
06/16/1986,37.9622641509434
06/23/1986,37.9622641509434
06/30/1986,37.9622641509434
07/02/1990,68.25
07/09/1990,68.25
07/16/1990,68.25
07/23/1990,68.25
07/30/1990,68.25
08/06/1990,68.25
08/13/1990,68.25
08/20/1990,68.25
08/27/1990,68.25
09/03/1990,68.25
09/10/1990,68.25
09/17/1990,68.25
09/24/1990,68.25
10/01/1990,68.25
10/08/1990,68.25
10/15/1990,68.25
10/22/1990,68.25
10/29/1990,68.25
11/05/1990,68.25
11/12/1990,68.25
11/19/1990,68.25
11/26/1990,68.25
12/03/1990,68.25
12/10/1990,68.25
12/17/1990,68.25
12/24/1990,68.25
12/31/1990,68.25
01/07/1991,68.25
01/14/1991,68.25
01/21/1991,68.25
01/28/1991,68.25
02/04/1991,68.25
02/11/1991,68.25
02/18/1991,68.25
02/25/1991,68.25
03/04/1991,68.25
03/11/1991,68.25
03/18/1991,68.25
03/25/1991,68.25
04/01/1991,68.25
04/08/1991,68.25
04/15/1991,68.25
04/22/1991,68.25
04/29/1991,68.25
05/06/1991,68.25
05/13/1991,68.25
05/20/1991,68.25
05/27/1991,68.25
06/03/1991,68.25
06/10/1991,68.25
06/17/1991,68.25
06/24/1991,68.25
07/03/1995,124.538461538462
07/10/1995,124.538461538462
07/17/1995,124.538461538462
07/24/1995,124.538461538462
07/31/1995,124.538461538462
08/07/1995,124.538461538462
08/14/1995,124.538461538462
08/21/1995,124.538461538462
08/28/1995,124.538461538462
09/04/1995,124.538461538462
09/11/1995,124.538461538462
09/18/1995,124.538461538462
09/25/1995,124.538461538462
10/02/1995,124.538461538462
10/09/1995,124.538461538462
10/16/1995,124.538461538462
10/23/1995,124.538461538462
10/30/1995,124.538461538462
11/06/1995,124.538461538462
11/13/1995,124.538461538462
11/20/1995,124.538461538462
11/27/1995,124.538461538462
12/04/1995,124.538461538462
12/11/1995,124.538461538462
12/18/1995,124.538461538462
12/25/1995,124.538461538462
01/01/1996,124.538461538462
01/08/1996,124.538461538462
01/15/1996,124.538461538462
01/22/1996,124.538461538462
01/29/1996,124.538461538462
02/05/1996,124.538461538462
02/12/1996,124.538461538462
02/19/1996,124.538461538462
02/26/1996,124.538461538462
03/04/1996,124.538461538462
03/11/1996,124.538461538462
03/18/1996,124.538461538462
03/25/1996,124.538461538462
04/01/1996,124.538461538462
04/08/1996,124.538461538462
04/15/1996,124.538461538462
04/22/1996,124.538461538462
04/29/1996,124.538461538462
05/06/1996,124.538461538462
05/13/1996,124.538461538462
05/20/1996,124.538461538462
05/27/1996,124.538461538462
06/03/1996,124.538461538462
06/10/1996,124.538461538462
06/17/1996,124.538461538462
06/24/1996,124.538461538462
07/02/2001,246.211538461538
07/09/2001,246.211538461538
07/16/2001,246.211538461538
07/23/2001,246.211538461538
07/30/2001,246.211538461538
08/06/2001,246.211538461538
08/13/2001,246.211538461538
08/20/2001,246.211538461538
08/27/2001,246.211538461538
09/03/2001,246.211538461538
09/10/2001,246.211538461538
09/17/2001,246.211538461538
09/24/2001,246.211538461538
10/01/2001,246.211538461538
10/08/2001,246.211538461538
10/15/2001,246.211538461538
10/22/2001,246.211538461538
10/29/2001,246.211538461538
11/05/2001,246.211538461538
11/12/2001,246.211538461538
11/19/2001,246.211538461538
11/26/2001,246.211538461538
12/03/2001,246.211538461538
12/10/2001,246.211538461538
12/17/2001,246.211538461538
12/24/2001,246.211538461538
12/31/2001,246.211538461538
01/07/2002,246.211538461538
01/14/2002,246.211538461538
01/21/2002,246.211538461538
01/28/2002,246.211538461538
02/04/2002,246.211538461538
02/11/2002,246.211538461538
02/18/2002,246.211538461538
02/25/2002,246.211538461538
03/04/2002,246.211538461538
03/11/2002,246.211538461538
03/18/2002,246.211538461538
03/25/2002,246.211538461538
04/01/2002,246.211538461538
04/08/2002,246.211538461538
04/15/2002,246.211538461538
04/22/2002,246.211538461538
04/29/2002,246.211538461538
05/06/2002,246.211538461538
05/13/2002,246.211538461538
05/20/2002,246.211538461538
05/27/2002,246.211538461538
06/03/2002,246.211538461538
06/10/2002,246.211538461538
06/17/2002,246.211538461538
06/24/2002,246.211538461538
07/05/2004,385.538461538462
07/12/2004,385.538461538462
07/19/2004,385.538461538462
07/26/2004,385.538461538462
08/02/2004,385.538461538462
08/09/2004,385.538461538462
08/16/2004,385.538461538462
08/23/2004,385.538461538462
08/30/2004,385.538461538462
09/06/2004,385.538461538462
09/13/2004,385.538461538462
09/20/2004,385.538461538462
09/27/2004,385.538461538462
10/04/2004,385.538461538462
10/11/2004,385.538461538462
10/18/2004,385.538461538462
10/25/2004,385.538461538462
11/01/2004,385.538461538462
11/08/2004,385.538461538462
11/15/2004,385.538461538462
11/22/2004,385.538461538462
11/29/2004,385.538461538462
12/06/2004,385.538461538462
12/13/2004,385.538461538462
12/20/2004,385.538461538462
12/27/2004,385.538461538462
01/03/2005,385.538461538462
01/10/2005,385.538461538462
01/17/2005,385.538461538462
01/24/2005,385.538461538462
01/31/2005,385.538461538462
02/07/2005,385.538461538462
02/14/2005,385.538461538462
02/21/2005,385.538461538462
02/28/2005,385.538461538462
03/07/2005,385.538461538462
03/14/2005,385.538461538462
03/21/2005,385.538461538462
03/28/2005,385.538461538462
04/04/2005,385.538461538462
04/11/2005,385.538461538462
04/18/2005,385.538461538462
04/25/2005,385.538461538462
05/02/2005,385.538461538462
05/09/2005,385.538461538462
05/16/2005,385.538461538462
05/23/2005,385.538461538462
05/30/2005,385.538461538462
06/06/2005,385.538461538462
06/13/2005,385.538461538462
06/20/2005,385.538461538462
06/27/2005,385.538461538462
07/03/2006,505.5
07/10/2006,505.5
07/17/2006,505.5
07/24/2006,505.5
07/31/2006,505.5
08/07/2006,505.5
08/14/2006,505.5
08/21/2006,505.5
08/28/2006,505.5
09/04/2006,505.5
09/11/2006,505.5
09/18/2006,505.5
09/25/2006,505.5
10/02/2006,505.5
10/09/2006,505.5
10/16/2006,505.5
10/23/2006,505.5
10/30/2006,505.5
11/06/2006,505.5
11/13/2006,505.5
11/20/2006,505.5
11/27/2006,505.5
12/04/2006,505.5
12/11/2006,505.5
12/18/2006,505.5
12/25/2006,505.5
01/01/2007,505.5
01/08/2007,505.5
01/15/2007,505.5
01/22/2007,505.5
01/29/2007,505.5
02/05/2007,505.5
02/12/2007,505.5
02/19/2007,505.5
02/26/2007,505.5
03/05/2007,505.5
03/12/2007,505.5
03/19/2007,505.5
03/26/2007,505.5
04/02/2007,505.5
04/09/2007,505.5
04/16/2007,505.5
04/23/2007,505.5
04/30/2007,505.5
05/07/2007,505.5
05/14/2007,505.5
05/21/2007,505.5
05/28/2007,505.5
06/04/2007,505.5
06/11/2007,505.5
06/18/2007,505.5
06/25/2007,505.5
07/06/2009,700.980769230769
07/13/2009,700.980769230769
07/20/2009,700.980769230769
07/27/2009,700.980769230769
08/03/2009,700.980769230769
08/10/2009,700.980769230769
08/17/2009,700.980769230769
08/24/2009,700.980769230769
08/31/2009,700.980769230769
09/07/2009,700.980769230769
09/14/2009,700.980769230769
09/21/2009,700.980769230769
09/28/2009,700.980769230769
10/05/2009,700.980769230769
10/12/2009,700.980769230769
10/19/2009,700.980769230769
10/26/2009,700.980769230769
11/02/2009,700.980769230769
11/09/2009,700.980769230769
11/16/2009,700.980769230769
11/23/2009,700.980769230769
11/30/2009,700.980769230769
12/07/2009,700.980769230769
12/14/2009,700.980769230769
12/21/2009,700.980769230769
12/28/2009,700.980769230769
01/04/2010,700.980769230769
01/11/2010,700.980769230769
01/18/2010,700.980769230769
01/25/2010,700.980769230769
02/01/2010,700.980769230769
02/08/2010,700.980769230769
02/15/2010,700.980769230769
02/22/2010,700.980769230769
03/01/2010,700.980769230769
03/08/2010,700.980769230769
03/15/2010,700.980769230769
03/22/2010,700.980769230769
03/29/2010,700.980769230769
04/05/2010,700.980769230769
04/12/2010,700.980769230769
04/19/2010,700.980769230769
04/26/2010,700.980769230769
05/03/2010,700.980769230769
05/10/2010,700.980769230769
05/17/2010,700.980769230769
05/24/2010,700.980769230769
05/31/2010,700.980769230769
06/07/2010,700.980769230769
06/14/2010,700.980769230769
06/21/2010,700.980769230769
06/28/2010,700.980769230769
07/02/2012,882.269230769231
07/09/2012,882.269230769231
07/16/2012,882.269230769231
07/23/2012,882.269230769231
07/30/2012,882.269230769231
08/06/2012,882.269230769231
08/13/2012,882.269230769231
08/20/2012,882.269230769231
08/27/2012,882.269230769231
09/03/2012,882.269230769231
09/10/2012,882.269230769231
09/17/2012,882.269230769231
09/24/2012,882.269230769231
10/01/2012,882.269230769231
10/08/2012,882.269230769231
10/15/2012,882.269230769231
10/22/2012,882.269230769231
10/29/2012,882.269230769231
11/05/2012,882.269230769231
11/12/2012,882.269230769231
11/19/2012,882.269230769231
11/26/2012,882.269230769231
12/03/2012,882.269230769231
12/10/2012,882.269230769231
12/17/2012,882.269230769231
12/24/2012,882.269230769231
12/31/2012,882.269230769231
01/07/2013,882.269230769231
01/14/2013,882.269230769231
01/21/2013,882.269230769231
01/28/2013,882.269230769231
02/04/2013,882.269230769231
02/11/2013,882.269230769231
02/18/2013,882.269230769231
02/25/2013,882.269230769231
03/04/2013,882.269230769231
03/11/2013,882.269230769231
03/18/2013,882.269230769231
03/25/2013,882.269230769231
04/01/2013,882.269230769231
04/08/2013,882.269230769231
04/15/2013,882.269230769231
04/22/2013,882.269230769231
04/29/2013,882.269230769231
05/06/2013,882.269230769231
05/13/2013,882.269230769231
05/20/2013,882.269230769231
05/27/2013,882.269230769231
06/03/2013,882.269230769231
06/10/2013,882.269230769231
06/17/2013,882.269230769231
06/24/2013,882.269230769231
07/06/2015,1196.86538461538
07/13/2015,1196.86538461538
07/20/2015,1196.86538461538
07/27/2015,1196.86538461538
08/03/2015,1196.86538461538
08/10/2015,1196.86538461538
08/17/2015,1196.86538461538
08/24/2015,1196.86538461538
08/31/2015,1196.86538461538
09/07/2015,1196.86538461538
09/14/2015,1196.86538461538
09/21/2015,1196.86538461538
09/28/2015,1196.86538461538
10/05/2015,1196.86538461538
10/12/2015,1196.86538461538
10/19/2015,1196.86538461538
10/26/2015,1196.86538461538
11/02/2015,1196.86538461538
11/09/2015,1196.86538461538
11/16/2015,1196.86538461538
11/23/2015,1196.86538461538
11/30/2015,1196.86538461538
12/07/2015,1196.86538461538
12/14/2015,1196.86538461538
12/21/2015,1196.86538461538
12/28/2015,1196.86538461538
01/04/2016,1196.86538461538
01/11/2016,1196.86538461538
01/18/2016,1196.86538461538
01/25/2016,1196.86538461538
02/01/2016,1196.86538461538
02/08/2016,1196.86538461538
02/15/2016,1196.86538461538
02/22/2016,1196.86538461538
02/29/2016,1196.86538461538
03/07/2016,1196.86538461538
03/14/2016,1196.86538461538
03/21/2016,1196.86538461538
03/28/2016,1196.86538461538
04/04/2016,1196.86538461538
04/11/2016,1196.86538461538
04/18/2016,1196.86538461538
04/25/2016,1196.86538461538
05/02/2016,1196.86538461538
05/09/2016,1196.86538461538
05/16/2016,1196.86538461538
05/23/2016,1196.86538461538
05/30/2016,1196.86538461538
06/06/2016,1196.86538461538
06/13/2016,1196.86538461538
06/20/2016,1196.86538461538
06/27/2016,1196.86538461538
07/02/2018,1469.5
07/09/2018,1469.5
07/16/2018,1469.5
07/23/2018,1469.5
07/30/2018,1469.5
08/06/2018,1469.5
08/13/2018,1469.5
08/20/2018,1469.5
08/27/2018,1469.5
09/03/2018,1469.5
09/10/2018,1469.5
09/17/2018,1469.5
09/24/2018,1469.5
10/01/2018,1469.5
10/08/2018,1469.5
10/15/2018,1469.5
10/22/2018,1469.5
10/29/2018,1469.5
11/05/2018,1469.5
11/12/2018,1469.5
11/19/2018,1469.5
11/26/2018,1469.5
12/03/2018,1469.5
12/10/2018,1469.5
12/17/2018,1469.5
12/24/2018,1469.5
12/31/2018,1469.5
01/07/2019,1469.5
01/14/2019,1469.5
01/21/2019,1469.5
01/28/2019,1469.5
02/04/2019,1469.5
02/11/2019,1469.5
02/18/2019,1469.5
02/25/2019,1469.5
03/04/2019,1469.5
03/11/2019,1469.5
03/18/2019,1469.5
03/25/2019,1469.5
04/01/2019,1469.5
04/08/2019,1469.5
04/15/2019,1469.5
04/22/2019,1469.5
04/29/2019,1469.5
05/06/2019,1469.5
05/13/2019,1469.5
05/20/2019,1469.5
05/27/2019,1469.5
06/03/2019,1469.5
06/10/2019,1469.5
06/17/2019,1469.5
06/24/2019,1469.5
