,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,0.35267447252536643
Variance,0.011796838434473598
Standard Deviation,0.1086132516522436
Skewness,0.19799187562005047
Kurtosis,-0.9552484848792444
Coefficient Variation,0.30797026752320866
Min,0.17025316442307695
Max,0.5684920626923077
Median,0.23640550500000002
Sum,
Subtract,
12/18/1995,0.39526390615385
12/25/1995,0.39526390615385
01/01/1996,0.36893043207547
01/08/1996,0.36893043207547
01/15/1996,0.36893043207547
01/22/1996,0.36893043207547
01/29/1996,0.36893043207547
02/05/1996,0.36893043207547
02/12/1996,0.36893043207547
02/19/1996,0.36893043207547
02/26/1996,0.36893043207547
03/04/1996,0.36893043207547
03/11/1996,0.36893043207547
03/18/1996,0.36893043207547
03/25/1996,0.36893043207547
04/01/1996,0.36893043207547
04/08/1996,0.36893043207547
04/15/1996,0.36893043207547
04/22/1996,0.36893043207547
04/29/1996,0.36893043207547
05/06/1996,0.36893043207547
05/13/1996,0.36893043207547
05/20/1996,0.36893043207547
05/27/1996,0.36893043207547
06/03/1996,0.36893043207547
06/10/1996,0.36893043207547
06/17/1996,0.36893043207547
06/24/1996,0.36893043207547
07/01/1996,0.36893043207547
07/08/1996,0.36893043207547
07/15/1996,0.36893043207547
07/22/1996,0.36893043207547
07/29/1996,0.36893043207547
08/05/1996,0.36893043207547
08/12/1996,0.36893043207547
08/19/1996,0.36893043207547
08/26/1996,0.36893043207547
09/02/1996,0.36893043207547
09/09/1996,0.36893043207547
09/16/1996,0.36893043207547
09/23/1996,0.36893043207547
09/30/1996,0.36893043207547
10/07/1996,0.36893043207547
