,Number of Vessels Arrivals: Port of Colombo
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,Central Bank of Sri Lanka
Status,Active
Series ID,31012201 (LTFAA)
SR Code,SR543627
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,12/07/1998
Last Obs. Date,11/25/2024
Last Update Time,30/12/2024
Series remarks,
Suggestions,
Mean,83.35103244837761
Variance,138.34472956056982
Standard Deviation,11.762003637160202
Skewness,0.14871153311344112
Kurtosis,-0.8056000246702539
Coefficient Variation,0.1411140725154766
Min,60.8
Max,110.25
Median,84.25
Sum,
Subtract,
02/13/2006,85.75
02/20/2006,85.75
02/27/2006,85.75
03/06/2006,97.5
03/13/2006,97.5
03/20/2006,97.5
03/27/2006,97.5
04/03/2006,95
04/10/2006,95
04/17/2006,95
04/24/2006,95
05/01/2006,76.4
05/08/2006,76.4
05/15/2006,76.4
05/22/2006,76.4
05/29/2006,76.4
06/05/2006,95.5
06/12/2006,95.5
06/19/2006,95.5
06/26/2006,95.5
07/03/2006,65.8
07/10/2006,65.8
07/17/2006,65.8
07/24/2006,65.8
07/31/2006,65.8
08/07/2006,96
08/14/2006,96
08/21/2006,96
08/28/2006,96
09/04/2006,90.5
09/11/2006,90.5
09/18/2006,90.5
09/25/2006,90.5
10/02/2006,75.8
10/09/2006,75.8
10/16/2006,75.8
10/23/2006,75.8
10/30/2006,75.8
11/06/2006,92.25
11/13/2006,92.25
11/20/2006,92.25
11/27/2006,92.25
12/04/2006,96.5
12/11/2006,96.5
12/18/2006,96.5
12/25/2006,96.5
01/01/2007,79.4
01/08/2007,79.4
01/15/2007,79.4
01/22/2007,79.4
01/29/2007,79.4
02/05/2007,88.5
02/12/2007,88.5
02/19/2007,88.5
02/26/2007,88.5
03/05/2007,102.75
03/12/2007,102.75
03/19/2007,102.75
03/26/2007,102.75
04/02/2007,79
04/09/2007,79
04/16/2007,79
04/23/2007,79
04/30/2007,79
05/07/2007,97.5
05/14/2007,97.5
05/21/2007,97.5
05/28/2007,97.5
06/04/2007,94.75
06/11/2007,94.75
06/18/2007,94.75
06/25/2007,94.75
07/02/2007,80.8
07/09/2007,80.8
07/16/2007,80.8
07/23/2007,80.8
07/30/2007,80.8
08/06/2007,100.25
08/13/2007,100.25
08/20/2007,100.25
08/27/2007,100.25
09/03/2007,97.5
09/10/2007,97.5
09/17/2007,97.5
09/24/2007,97.5
10/01/2007,82.2
10/08/2007,82.2
10/15/2007,82.2
10/22/2007,82.2
10/29/2007,82.2
11/05/2007,93.25
11/12/2007,93.25
11/19/2007,93.25
11/26/2007,93.25
12/03/2007,80.2
12/10/2007,80.2
12/17/2007,80.2
12/24/2007,80.2
12/31/2007,80.2
01/07/2008,99
01/14/2008,99
01/21/2008,99
01/28/2008,99
02/04/2008,93.5
02/11/2008,93.5
02/18/2008,93.5
02/25/2008,93.5
03/03/2008,82.8
03/10/2008,82.8
03/17/2008,82.8
03/24/2008,82.8
03/31/2008,82.8
04/07/2008,100.5
04/14/2008,100.5
04/21/2008,100.5
