,GDP: FCE: Households
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495105947 (LAZAAABBAAABCG)
SR Code,SR173549697
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: FCE: Households {375579907} [SPLICE(GDP: FCE: Households {495105947}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,185772.4610423654
Variance,7977347929.944695
Standard Deviation,89316.00041394988
Skewness,1.1986322640932057
Kurtosis,0.400815673896608
Coefficient Variation,0.4807817042030862
Min,81078.58747649682
Max,404535.3781118908
Median,157350.83264298152
Sum,
Subtract,
10/04/2010,84034.4742445351
10/11/2010,84034.4742445351
10/18/2010,84034.4742445351
10/25/2010,84034.4742445351
11/01/2010,84034.4742445351
11/08/2010,84034.4742445351
11/15/2010,84034.4742445351
11/22/2010,84034.4742445351
11/29/2010,84034.4742445351
12/06/2010,84034.4742445351
12/13/2010,84034.4742445351
12/20/2010,84034.4742445351
12/27/2010,84034.4742445351
01/03/2011,96712.789697399
01/10/2011,96712.789697399
01/17/2011,96712.789697399
01/24/2011,96712.789697399
01/31/2011,96712.789697399
02/07/2011,96712.789697399
02/14/2011,96712.789697399
02/21/2011,96712.789697399
02/28/2011,96712.789697399
03/07/2011,96712.789697399
03/14/2011,96712.789697399
03/21/2011,96712.789697399
03/28/2011,96712.789697399
04/04/2011,94450.2672165549
04/11/2011,94450.2672165549
04/18/2011,94450.2672165549
04/25/2011,94450.2672165549
05/02/2011,94450.2672165549
05/09/2011,94450.2672165549
05/16/2011,94450.2672165549
05/23/2011,94450.2672165549
05/30/2011,94450.2672165549
06/06/2011,94450.2672165549
06/13/2011,94450.2672165549
06/20/2011,94450.2672165549
06/27/2011,94450.2672165549
07/04/2011,103970.264974821
07/11/2011,103970.264974821
07/18/2011,103970.264974821
07/25/2011,103970.264974821
08/01/2011,103970.264974821
08/08/2011,103970.264974821
08/15/2011,103970.264974821
08/22/2011,103970.264974821
08/29/2011,103970.264974821
09/05/2011,103970.264974821
09/12/2011,103970.264974821
09/19/2011,103970.264974821
09/26/2011,103970.264974821
10/03/2011,99877.9820880095
10/10/2011,99877.9820880095
10/17/2011,99877.9820880095
10/24/2011,99877.9820880095
10/31/2011,99877.9820880095
11/07/2011,99877.9820880095
11/14/2011,99877.9820880095
11/21/2011,99877.9820880095
11/28/2011,99877.9820880095
12/05/2011,99877.9820880095
12/12/2011,99877.9820880095
12/19/2011,99877.9820880095
12/26/2011,99877.9820880095
01/02/2012,108806.059539794
01/09/2012,108806.059539794
01/16/2012,108806.059539794
01/23/2012,108806.059539794
01/30/2012,108806.059539794
02/06/2012,108806.059539794
02/13/2012,108806.059539794
02/20/2012,108806.059539794
02/27/2012,108806.059539794
03/05/2012,108806.059539794
03/12/2012,108806.059539794
03/19/2012,108806.059539794
03/26/2012,108806.059539794
04/02/2012,104895.811596668
04/09/2012,104895.811596668
04/16/2012,104895.811596668
04/23/2012,104895.811596668
04/30/2012,104895.811596668
05/07/2012,104895.811596668
05/14/2012,104895.811596668
05/21/2012,104895.811596668
05/28/2012,104895.811596668
06/04/2012,104895.811596668
06/11/2012,104895.811596668
06/18/2012,104895.811596668
06/25/2012,104895.811596668
07/02/2012,115745.075447901
07/09/2012,115745.075447901
07/16/2012,115745.075447901
07/23/2012,115745.075447901
07/30/2012,115745.075447901
08/06/2012,115745.075447901
08/13/2012,115745.075447901
08/20/2012,115745.075447901
08/27/2012,115745.075447901
09/03/2012,115745.075447901
09/10/2012,115745.075447901
09/17/2012,115745.075447901
09/24/2012,115745.075447901
10/01/2012,99866.9466805149
10/08/2012,99866.9466805149
10/15/2012,99866.9466805149
10/22/2012,99866.9466805149
10/29/2012,99866.9466805149
11/05/2012,99866.9466805149
11/12/2012,99866.9466805149
11/19/2012,99866.9466805149
11/26/2012,99866.9466805149
12/03/2012,99866.9466805149
