,Refined Products: Demand: Local Sales: Auto Diesel: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,30772901 (LBKFB)
SR Code,SR854639
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/05/1987
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,27.93827209797656
Variance,113.19580828107763
Standard Deviation,10.639351873167728
Skewness,-0.6610701700814028
Kurtosis,-1.0174332292093504
Coefficient Variation,0.38081638820957314
Min,9.299057692307692
Max,42.19230769230769
Median,36.34615384615385
Sum,
Subtract,
11/09/1987,9.56353846153846
11/16/1987,9.56353846153846
11/23/1987,9.56353846153846
11/30/1987,9.56353846153846
12/07/1987,9.56353846153846
12/14/1987,9.56353846153846
12/21/1987,9.56353846153846
12/28/1987,9.56353846153846
01/04/1988,9.59601923076923
01/11/1988,9.59601923076923
01/18/1988,9.59601923076923
01/25/1988,9.59601923076923
02/01/1988,9.59601923076923
02/08/1988,9.59601923076923
02/15/1988,9.59601923076923
02/22/1988,9.59601923076923
02/29/1988,9.59601923076923
03/07/1988,9.59601923076923
03/14/1988,9.59601923076923
03/21/1988,9.59601923076923
03/28/1988,9.59601923076923
04/04/1988,9.59601923076923
04/11/1988,9.59601923076923
04/18/1988,9.59601923076923
04/25/1988,9.59601923076923
05/02/1988,9.59601923076923
05/09/1988,9.59601923076923
05/16/1988,9.59601923076923
05/23/1988,9.59601923076923
05/30/1988,9.59601923076923
06/06/1988,9.59601923076923
06/13/1988,9.59601923076923
06/20/1988,9.59601923076923
06/27/1988,9.59601923076923
07/04/1988,9.59601923076923
07/11/1988,9.59601923076923
07/18/1988,9.59601923076923
07/25/1988,9.59601923076923
08/01/1988,9.59601923076923
08/08/1988,9.59601923076923
08/15/1988,9.59601923076923
08/22/1988,9.59601923076923
08/29/1988,9.59601923076923
09/05/1988,9.59601923076923
09/12/1988,9.59601923076923
09/19/1988,9.59601923076923
09/26/1988,9.59601923076923
10/03/1988,9.59601923076923
10/10/1988,9.59601923076923
10/17/1988,9.59601923076923
10/24/1988,9.59601923076923
10/31/1988,9.59601923076923
11/07/1988,9.59601923076923
11/14/1988,9.59601923076923
11/21/1988,9.59601923076923
11/28/1988,9.59601923076923
12/05/1988,9.59601923076923
12/12/1988,9.59601923076923
12/19/1988,9.59601923076923
12/26/1988,9.59601923076923
01/02/1989,9.29905769230769
01/09/1989,9.29905769230769
01/16/1989,9.29905769230769
01/23/1989,9.29905769230769
01/30/1989,9.29905769230769
02/06/1989,9.29905769230769
02/13/1989,9.29905769230769
02/20/1989,9.29905769230769
02/27/1989,9.29905769230769
03/06/1989,9.29905769230769
03/13/1989,9.29905769230769
03/20/1989,9.29905769230769
03/27/1989,9.29905769230769
04/03/1989,9.29905769230769
04/10/1989,9.29905769230769
04/17/1989,9.29905769230769
04/24/1989,9.29905769230769
05/01/1989,9.29905769230769
05/08/1989,9.29905769230769
05/15/1989,9.29905769230769
05/22/1989,9.29905769230769
05/29/1989,9.29905769230769
06/05/1989,9.29905769230769
06/12/1989,9.29905769230769
06/19/1989,9.29905769230769
06/26/1989,9.29905769230769
07/03/1989,9.29905769230769
07/10/1989,9.29905769230769
07/17/1989,9.29905769230769
07/24/1989,9.29905769230769
07/31/1989,9.29905769230769
08/07/1989,9.29905769230769
08/14/1989,9.29905769230769
08/21/1989,9.29905769230769
08/28/1989,9.29905769230769
09/04/1989,9.29905769230769
09/11/1989,9.29905769230769
09/18/1989,9.29905769230769
09/25/1989,9.29905769230769
10/02/1989,9.29905769230769
10/09/1989,9.29905769230769
10/16/1989,9.29905769230769
10/23/1989,9.29905769230769
10/30/1989,9.29905769230769
11/06/1989,9.29905769230769
11/13/1989,9.29905769230769
11/20/1989,9.29905769230769
11/27/1989,9.29905769230769
12/04/1989,9.29905769230769
12/11/1989,9.29905769230769
12/18/1989,9.29905769230769
12/25/1989,9.29905769230769
01/01/1990,9.67301886792453
01/08/1990,9.67301886792453
01/15/1990,9.67301886792453
01/22/1990,9.67301886792453
01/29/1990,9.67301886792453
02/05/1990,9.67301886792453
02/12/1990,9.67301886792453
02/19/1990,9.67301886792453
02/26/1990,9.67301886792453
03/05/1990,9.67301886792453
03/12/1990,9.67301886792453
03/19/1990,9.67301886792453
03/26/1990,9.67301886792453
04/02/1990,9.67301886792453
04/09/1990,9.67301886792453
04/16/1990,9.67301886792453
04/23/1990,9.67301886792453
04/30/1990,9.67301886792453
05/07/1990,9.67301886792453
05/14/1990,9.67301886792453
05/21/1990,9.67301886792453
05/28/1990,9.67301886792453
06/04/1990,9.67301886792453
06/11/1990,9.67301886792453
06/18/1990,9.67301886792453
06/25/1990,9.67301886792453
07/02/1990,9.67301886792453
07/09/1990,9.67301886792453
07/16/1990,9.67301886792453
07/23/1990,9.67301886792453
07/30/1990,9.67301886792453
08/06/1990,9.67301886792453
08/13/1990,9.67301886792453
08/20/1990,9.67301886792453
08/27/1990,9.67301886792453
09/03/1990,9.67301886792453
09/10/1990,9.67301886792453
09/17/1990,9.67301886792453
09/24/1990,9.67301886792453
10/01/1990,9.67301886792453
10/08/1990,9.67301886792453
10/15/1990,9.67301886792453
10/22/1990,9.67301886792453
10/29/1990,9.67301886792453
11/05/1990,9.67301886792453
11/12/1990,9.67301886792453
11/19/1990,9.67301886792453
11/26/1990,9.67301886792453
12/03/1990,9.67301886792453
12/10/1990,9.67301886792453
12/17/1990,9.67301886792453
12/24/1990,9.67301886792453
12/31/1990,9.67301886792453
01/07/1991,10.3842884615385
01/14/1991,10.3842884615385
01/21/1991,10.3842884615385
01/28/1991,10.3842884615385
02/04/1991,10.3842884615385
02/11/1991,10.3842884615385
02/18/1991,10.3842884615385
02/25/1991,10.3842884615385
03/04/1991,10.3842884615385
03/11/1991,10.3842884615385
03/18/1991,10.3842884615385
03/25/1991,10.3842884615385
04/01/1991,10.3842884615385
04/08/1991,10.3842884615385
04/15/1991,10.3842884615385
04/22/1991,10.3842884615385
04/29/1991,10.3842884615385
05/06/1991,10.3842884615385
05/13/1991,10.3842884615385
05/20/1991,10.3842884615385
05/27/1991,10.3842884615385
06/03/1991,10.3842884615385
06/10/1991,10.3842884615385
06/17/1991,10.3842884615385
06/24/1991,10.3842884615385
07/01/1991,10.3842884615385
07/08/1991,10.3842884615385
07/15/1991,10.3842884615385
07/22/1991,10.3842884615385
07/29/1991,10.3842884615385
08/05/1991,10.3842884615385
08/12/1991,10.3842884615385
08/19/1991,10.3842884615385
08/26/1991,10.3842884615385
09/02/1991,10.3842884615385
09/09/1991,10.3842884615385
09/16/1991,10.3842884615385
09/23/1991,10.3842884615385
09/30/1991,10.3842884615385
10/07/1991,10.3842884615385
10/14/1991,10.3842884615385
10/21/1991,10.3842884615385
10/28/1991,10.3842884615385
11/04/1991,10.3842884615385
11/11/1991,10.3842884615385
11/18/1991,10.3842884615385
11/25/1991,10.3842884615385
12/02/1991,10.3842884615385
12/09/1991,10.3842884615385
12/16/1991,10.3842884615385
12/23/1991,10.3842884615385
12/30/1991,10.3842884615385
01/06/1992,11.6639807692308
01/13/1992,11.6639807692308
01/20/1992,11.6639807692308
01/27/1992,11.6639807692308
02/03/1992,11.6639807692308
02/10/1992,11.6639807692308
02/17/1992,11.6639807692308
02/24/1992,11.6639807692308
03/02/1992,11.6639807692308
03/09/1992,11.6639807692308
03/16/1992,11.6639807692308
03/23/1992,11.6639807692308
03/30/1992,11.6639807692308
04/06/1992,11.6639807692308
04/13/1992,11.6639807692308
04/20/1992,11.6639807692308
04/27/1992,11.6639807692308
05/04/1992,11.6639807692308
05/11/1992,11.6639807692308
05/18/1992,11.6639807692308
05/25/1992,11.6639807692308
06/01/1992,11.6639807692308
06/08/1992,11.6639807692308
06/15/1992,11.6639807692308
06/22/1992,11.6639807692308
06/29/1992,11.6639807692308
07/06/1992,11.6639807692308
07/13/1992,11.6639807692308
07/20/1992,11.6639807692308
07/27/1992,11.6639807692308
08/03/1992,11.6639807692308
