,Revenue: Tax: Taxes on International Trade: Taxes on Exports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,263949202
SR Code,SR5467655
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on exports are all levies on goods being transported out of the country or services being delivered to nonresidents by residents. Rebates on exported goods that are repayments of previously paid general consumption taxes, excise taxes, or import duties are deducted from the gross amounts receivable from these taxes, not from amounts receivable from export taxes.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,26.903013733198144
Variance,473.0682134136335
Standard Deviation,21.750131342445577
Skewness,-0.17848429673269647
Kurtosis,-1.7031315364199384
Coefficient Variation,0.8084644924224997
Min,0.07692307692307693
Max,57.31041625423077
Median,0.46153846153846156
Sum,
Subtract,
09/10/1990,48.0943396226415
09/17/1990,48.0943396226415
09/24/1990,48.0943396226415
10/01/1990,48.0943396226415
10/08/1990,48.0943396226415
10/15/1990,48.0943396226415
10/22/1990,48.0943396226415
10/29/1990,48.0943396226415
11/05/1990,48.0943396226415
11/12/1990,48.0943396226415
11/19/1990,48.0943396226415
11/26/1990,48.0943396226415
12/03/1990,48.0943396226415
12/10/1990,48.0943396226415
12/17/1990,48.0943396226415
12/24/1990,48.0943396226415
12/31/1990,48.0943396226415
01/07/1991,21.8653846153846
01/14/1991,21.8653846153846
01/21/1991,21.8653846153846
01/28/1991,21.8653846153846
02/04/1991,21.8653846153846
02/11/1991,21.8653846153846
02/18/1991,21.8653846153846
02/25/1991,21.8653846153846
03/04/1991,21.8653846153846
03/11/1991,21.8653846153846
03/18/1991,21.8653846153846
03/25/1991,21.8653846153846
04/01/1991,21.8653846153846
04/08/1991,21.8653846153846
04/15/1991,21.8653846153846
04/22/1991,21.8653846153846
04/29/1991,21.8653846153846
05/06/1991,21.8653846153846
05/13/1991,21.8653846153846
05/20/1991,21.8653846153846
05/27/1991,21.8653846153846
06/03/1991,21.8653846153846
06/10/1991,21.8653846153846
06/17/1991,21.8653846153846
06/24/1991,21.8653846153846
07/01/1991,21.8653846153846
07/08/1991,21.8653846153846
07/15/1991,21.8653846153846
07/22/1991,21.8653846153846
07/29/1991,21.8653846153846
08/05/1991,21.8653846153846
08/12/1991,21.8653846153846
08/19/1991,21.8653846153846
08/26/1991,21.8653846153846
09/02/1991,21.8653846153846
09/09/1991,21.8653846153846
09/16/1991,21.8653846153846
09/23/1991,21.8653846153846
09/30/1991,21.8653846153846
10/07/1991,21.8653846153846
10/14/1991,21.8653846153846
10/21/1991,21.8653846153846
10/28/1991,21.8653846153846
11/04/1991,21.8653846153846
11/11/1991,21.8653846153846
11/18/1991,21.8653846153846
11/25/1991,21.8653846153846
12/02/1991,21.8653846153846
12/09/1991,21.8653846153846
12/16/1991,21.8653846153846
12/23/1991,21.8653846153846
12/30/1991,21.8653846153846
01/06/1992,15.7884615384615
01/13/1992,15.7884615384615
01/20/1992,15.7884615384615
01/27/1992,15.7884615384615
02/03/1992,15.7884615384615
02/10/1992,15.7884615384615
02/17/1992,15.7884615384615
02/24/1992,15.7884615384615
03/02/1992,15.7884615384615
03/09/1992,15.7884615384615
03/16/1992,15.7884615384615
03/23/1992,15.7884615384615
03/30/1992,15.7884615384615
04/06/1992,15.7884615384615
04/13/1992,15.7884615384615
04/20/1992,15.7884615384615
04/27/1992,15.7884615384615
05/04/1992,15.7884615384615
05/11/1992,15.7884615384615
05/18/1992,15.7884615384615
05/25/1992,15.7884615384615
06/01/1992,15.7884615384615
06/08/1992,15.7884615384615
06/15/1992,15.7884615384615
06/22/1992,15.7884615384615
06/29/1992,15.7884615384615
07/06/1992,15.7884615384615
07/13/1992,15.7884615384615
07/20/1992,15.7884615384615
07/27/1992,15.7884615384615
08/03/1992,15.7884615384615
08/10/1992,15.7884615384615
08/17/1992,15.7884615384615
08/24/1992,15.7884615384615
08/31/1992,15.7884615384615
09/07/1992,15.7884615384615
09/14/1992,15.7884615384615
09/21/1992,15.7884615384615
09/28/1992,15.7884615384615
10/05/1992,15.7884615384615
10/12/1992,15.7884615384615
10/19/1992,15.7884615384615
10/26/1992,15.7884615384615
