,NN: BP: Consumption: Oil: Asia Pacific: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Barrel/Day th
Source,BP PLC
Status,Active
Series ID,403964597
SR Code,SR115108027
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/1965
Last Obs. Date,12/25/2023
Last Update Time,27/06/2024
Series remarks,
Suggestions,
Mean,1.1789785504093582
Variance,0.4991869831524687
Standard Deviation,0.7065316575727295
Skewness,0.5933796027264748
Kurtosis,-0.9311114994158745
Coefficient Variation,0.5992743950493515
Min,0.2954589051923077
Max,2.7656201448076922
Median,0.8429445173076923
Sum,
Subtract,
11/15/1965,0.29545890519231
11/22/1965,0.29545890519231
11/29/1965,0.29545890519231
12/06/1965,0.29545890519231
12/13/1965,0.29545890519231
12/20/1965,0.29545890519231
12/27/1965,0.29545890519231
01/03/1966,0.30260620730769
01/10/1966,0.30260620730769
01/17/1966,0.30260620730769
01/24/1966,0.30260620730769
01/31/1966,0.30260620730769
02/07/1966,0.30260620730769
02/14/1966,0.30260620730769
02/21/1966,0.30260620730769
02/28/1966,0.30260620730769
03/07/1966,0.30260620730769
03/14/1966,0.30260620730769
03/21/1966,0.30260620730769
03/28/1966,0.30260620730769
04/04/1966,0.30260620730769
04/11/1966,0.30260620730769
04/18/1966,0.30260620730769
04/25/1966,0.30260620730769
05/02/1966,0.30260620730769
05/09/1966,0.30260620730769
05/16/1966,0.30260620730769
05/23/1966,0.30260620730769
05/30/1966,0.30260620730769
06/06/1966,0.30260620730769
06/13/1966,0.30260620730769
06/20/1966,0.30260620730769
06/27/1966,0.30260620730769
07/04/1966,0.30260620730769
07/11/1966,0.30260620730769
07/18/1966,0.30260620730769
07/25/1966,0.30260620730769
08/01/1966,0.30260620730769
08/08/1966,0.30260620730769
08/15/1966,0.30260620730769
08/22/1966,0.30260620730769
08/29/1966,0.30260620730769
09/05/1966,0.30260620730769
09/12/1966,0.30260620730769
09/19/1966,0.30260620730769
09/26/1966,0.30260620730769
10/03/1966,0.30260620730769
10/10/1966,0.30260620730769
10/17/1966,0.30260620730769
10/24/1966,0.30260620730769
10/31/1966,0.30260620730769
11/07/1966,0.30260620730769
11/14/1966,0.30260620730769
11/21/1966,0.30260620730769
11/28/1966,0.30260620730769
12/05/1966,0.30260620730769
12/12/1966,0.30260620730769
12/19/1966,0.30260620730769
12/26/1966,0.30260620730769
01/02/1967,0.30994851596154
01/09/1967,0.30994851596154
01/16/1967,0.30994851596154
01/23/1967,0.30994851596154
01/30/1967,0.30994851596154
02/06/1967,0.30994851596154
02/13/1967,0.30994851596154
02/20/1967,0.30994851596154
02/27/1967,0.30994851596154
03/06/1967,0.30994851596154
03/13/1967,0.30994851596154
03/20/1967,0.30994851596154
03/27/1967,0.30994851596154
04/03/1967,0.30994851596154
04/10/1967,0.30994851596154
04/17/1967,0.30994851596154
04/24/1967,0.30994851596154
05/01/1967,0.30994851596154
05/08/1967,0.30994851596154
05/15/1967,0.30994851596154
05/22/1967,0.30994851596154
05/29/1967,0.30994851596154
06/05/1967,0.30994851596154
06/12/1967,0.30994851596154
06/19/1967,0.30994851596154
06/26/1967,0.30994851596154
07/03/1967,0.30994851596154
07/10/1967,0.30994851596154
07/17/1967,0.30994851596154
07/24/1967,0.30994851596154
07/31/1967,0.30994851596154
08/07/1967,0.30994851596154
08/14/1967,0.30994851596154
08/21/1967,0.30994851596154
08/28/1967,0.30994851596154
09/04/1967,0.30994851596154
09/11/1967,0.30994851596154
09/18/1967,0.30994851596154
09/25/1967,0.30994851596154
10/02/1967,0.30994851596154
10/09/1967,0.30994851596154
10/16/1967,0.30994851596154
10/23/1967,0.30994851596154
10/30/1967,0.30994851596154
11/06/1967,0.30994851596154
11/13/1967,0.30994851596154
11/20/1967,0.30994851596154
11/27/1967,0.30994851596154
12/04/1967,0.30994851596154
12/11/1967,0.30994851596154
12/18/1967,0.30994851596154
12/25/1967,0.30994851596154
01/01/1968,0.31086856867925
01/08/1968,0.31086856867925
01/15/1968,0.31086856867925
01/22/1968,0.31086856867925
01/29/1968,0.31086856867925
02/05/1968,0.31086856867925
02/12/1968,0.31086856867925
02/19/1968,0.31086856867925
02/26/1968,0.31086856867925
03/04/1968,0.31086856867925
03/11/1968,0.31086856867925
03/18/1968,0.31086856867925
03/25/1968,0.31086856867925
04/01/1968,0.31086856867925
04/08/1968,0.31086856867925
04/15/1968,0.31086856867925
04/22/1968,0.31086856867925
04/29/1968,0.31086856867925
05/06/1968,0.31086856867925
05/13/1968,0.31086856867925
05/20/1968,0.31086856867925
05/27/1968,0.31086856867925
06/03/1968,0.31086856867925
06/10/1968,0.31086856867925
06/17/1968,0.31086856867925
06/24/1968,0.31086856867925
07/01/1968,0.31086856867925
07/08/1968,0.31086856867925
07/15/1968,0.31086856867925
07/22/1968,0.31086856867925
07/29/1968,0.31086856867925
08/05/1968,0.31086856867925
