,"Revenue: Tax: Taxes on Income, Profits and Capital Gains"
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,264131202
SR Code,SR5468529
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on income, profits, and capital gains are levied on the actual or presumptive net income of individuals, on the profits of corporations and enterprises, and on capital gains, whether realized or not, on land, securities, and other assets. Intragovernmental payments are eliminated in consolidation.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,2945.08658360495
Variance,12603677.869116029
Standard Deviation,3550.1658931824622
Skewness,2.2722706382919635
Kurtosis,6.186721924635577
Coefficient Variation,1.2054538270439783
Min,138.43396226415095
Max,17521.319897428653
Median,1547.7692307692307
Sum,
Subtract,
11/07/2005,1010.28846153846
11/14/2005,1010.28846153846
11/21/2005,1010.28846153846
11/28/2005,1010.28846153846
12/05/2005,1010.28846153846
12/12/2005,1010.28846153846
12/19/2005,1010.28846153846
12/26/2005,1010.28846153846
01/02/2006,1547.76923076923
01/09/2006,1547.76923076923
01/16/2006,1547.76923076923
01/23/2006,1547.76923076923
01/30/2006,1547.76923076923
02/06/2006,1547.76923076923
02/13/2006,1547.76923076923
02/20/2006,1547.76923076923
02/27/2006,1547.76923076923
03/06/2006,1547.76923076923
03/13/2006,1547.76923076923
03/20/2006,1547.76923076923
03/27/2006,1547.76923076923
04/03/2006,1547.76923076923
04/10/2006,1547.76923076923
04/17/2006,1547.76923076923
04/24/2006,1547.76923076923
05/01/2006,1547.76923076923
05/08/2006,1547.76923076923
05/15/2006,1547.76923076923
05/22/2006,1547.76923076923
05/29/2006,1547.76923076923
06/05/2006,1547.76923076923
06/12/2006,1547.76923076923
06/19/2006,1547.76923076923
06/26/2006,1547.76923076923
07/03/2006,1547.76923076923
07/10/2006,1547.76923076923
07/17/2006,1547.76923076923
07/24/2006,1547.76923076923
07/31/2006,1547.76923076923
08/07/2006,1547.76923076923
08/14/2006,1547.76923076923
08/21/2006,1547.76923076923
08/28/2006,1547.76923076923
09/04/2006,1547.76923076923
09/11/2006,1547.76923076923
09/18/2006,1547.76923076923
09/25/2006,1547.76923076923
10/02/2006,1547.76923076923
10/09/2006,1547.76923076923
10/16/2006,1547.76923076923
10/23/2006,1547.76923076923
10/30/2006,1547.76923076923
11/06/2006,1547.76923076923
11/13/2006,1547.76923076923
11/20/2006,1547.76923076923
11/27/2006,1547.76923076923
12/04/2006,1547.76923076923
12/11/2006,1547.76923076923
12/18/2006,1547.76923076923
12/25/2006,1547.76923076923
01/01/2007,2022.03773584906
01/08/2007,2022.03773584906
01/15/2007,2022.03773584906
01/22/2007,2022.03773584906
01/29/2007,2022.03773584906
02/05/2007,2022.03773584906
02/12/2007,2022.03773584906
02/19/2007,2022.03773584906
02/26/2007,2022.03773584906
03/05/2007,2022.03773584906
03/12/2007,2022.03773584906
03/19/2007,2022.03773584906
03/26/2007,2022.03773584906
04/02/2007,2022.03773584906
04/09/2007,2022.03773584906
04/16/2007,2022.03773584906
04/23/2007,2022.03773584906
04/30/2007,2022.03773584906
05/07/2007,2022.03773584906
05/14/2007,2022.03773584906
05/21/2007,2022.03773584906
05/28/2007,2022.03773584906
06/04/2007,2022.03773584906
06/11/2007,2022.03773584906
06/18/2007,2022.03773584906
06/25/2007,2022.03773584906
07/02/2007,2022.03773584906
07/09/2007,2022.03773584906
07/16/2007,2022.03773584906
07/23/2007,2022.03773584906
07/30/2007,2022.03773584906
08/06/2007,2022.03773584906
08/13/2007,2022.03773584906
08/20/2007,2022.03773584906
08/27/2007,2022.03773584906
09/03/2007,2022.03773584906
09/10/2007,2022.03773584906
09/17/2007,2022.03773584906
09/24/2007,2022.03773584906
10/01/2007,2022.03773584906
10/08/2007,2022.03773584906
10/15/2007,2022.03773584906
10/22/2007,2022.03773584906
10/29/2007,2022.03773584906
11/05/2007,2022.03773584906
11/12/2007,2022.03773584906
11/19/2007,2022.03773584906
11/26/2007,2022.03773584906
12/03/2007,2022.03773584906
12/10/2007,2022.03773584906
12/17/2007,2022.03773584906
12/24/2007,2022.03773584906
12/31/2007,2022.03773584906
01/07/2008,2433.48076923077
01/14/2008,2433.48076923077
01/21/2008,2433.48076923077
01/28/2008,2433.48076923077
02/04/2008,2433.48076923077
02/11/2008,2433.48076923077
02/18/2008,2433.48076923077
02/25/2008,2433.48076923077
03/03/2008,2433.48076923077
03/10/2008,2433.48076923077
03/17/2008,2433.48076923077
03/24/2008,2433.48076923077
03/31/2008,2433.48076923077
04/07/2008,2433.48076923077
04/14/2008,2433.48076923077
04/21/2008,2433.48076923077
04/28/2008,2433.48076923077
05/05/2008,2433.48076923077
05/12/2008,2433.48076923077
05/19/2008,2433.48076923077
05/26/2008,2433.48076923077
06/02/2008,2433.48076923077
06/09/2008,2433.48076923077
06/16/2008,2433.48076923077
06/23/2008,2433.48076923077
06/30/2008,2433.48076923077
07/07/2008,2433.48076923077
07/14/2008,2433.48076923077
07/21/2008,2433.48076923077
07/28/2008,2433.48076923077
08/04/2008,2433.48076923077
08/11/2008,2433.48076923077
08/18/2008,2433.48076923077
08/25/2008,2433.48076923077
09/01/2008,2433.48076923077
09/08/2008,2433.48076923077
09/15/2008,2433.48076923077
09/22/2008,2433.48076923077
09/29/2008,2433.48076923077
10/06/2008,2433.48076923077
10/13/2008,2433.48076923077
10/20/2008,2433.48076923077
10/27/2008,2433.48076923077
11/03/2008,2433.48076923077
11/10/2008,2433.48076923077
11/17/2008,2433.48076923077
11/24/2008,2433.48076923077
12/01/2008,2433.48076923077
12/08/2008,2433.48076923077
12/15/2008,2433.48076923077
12/22/2008,2433.48076923077
12/29/2008,2433.48076923077
01/05/2009,2683.80769230769
01/12/2009,2683.80769230769
01/19/2009,2683.80769230769
01/26/2009,2683.80769230769
02/02/2009,2683.80769230769
02/09/2009,2683.80769230769
02/16/2009,2683.80769230769
02/23/2009,2683.80769230769
03/02/2009,2683.80769230769
03/09/2009,2683.80769230769
03/16/2009,2683.80769230769
03/23/2009,2683.80769230769
03/30/2009,2683.80769230769
04/06/2009,2683.80769230769
04/13/2009,2683.80769230769
04/20/2009,2683.80769230769
04/27/2009,2683.80769230769
05/04/2009,2683.80769230769
05/11/2009,2683.80769230769
05/18/2009,2683.80769230769
05/25/2009,2683.80769230769
06/01/2009,2683.80769230769
06/08/2009,2683.80769230769
06/15/2009,2683.80769230769
06/22/2009,2683.80769230769
06/29/2009,2683.80769230769
07/06/2009,2683.80769230769
07/13/2009,2683.80769230769
07/20/2009,2683.80769230769
07/27/2009,2683.80769230769
08/03/2009,2683.80769230769
08/10/2009,2683.80769230769
08/17/2009,2683.80769230769
08/24/2009,2683.80769230769
08/31/2009,2683.80769230769
09/07/2009,2683.80769230769
09/14/2009,2683.80769230769
09/21/2009,2683.80769230769
09/28/2009,2683.80769230769
10/05/2009,2683.80769230769
10/12/2009,2683.80769230769
10/19/2009,2683.80769230769
10/26/2009,2683.80769230769
11/02/2009,2683.80769230769
11/09/2009,2683.80769230769
11/16/2009,2683.80769230769
11/23/2009,2683.80769230769
11/30/2009,2683.80769230769
12/07/2009,2683.80769230769
12/14/2009,2683.80769230769
12/21/2009,2683.80769230769
12/28/2009,2683.80769230769
01/04/2010,2608.125
01/11/2010,2608.125
01/18/2010,2608.125
01/25/2010,2608.125
02/01/2010,2608.125
02/08/2010,2608.125
02/15/2010,2608.125
02/22/2010,2608.125
03/01/2010,2608.125
03/08/2010,2608.125
03/15/2010,2608.125
03/22/2010,2608.125
03/29/2010,2608.125
04/05/2010,2608.125
04/12/2010,2608.125
04/19/2010,2608.125
04/26/2010,2608.125
05/03/2010,2608.125
05/10/2010,2608.125
05/17/2010,2608.125
05/24/2010,2608.125
05/31/2010,2608.125
06/07/2010,2608.125
06/14/2010,2608.125
06/21/2010,2608.125
06/28/2010,2608.125
07/05/2010,2608.125
07/12/2010,2608.125
07/19/2010,2608.125
07/26/2010,2608.125
08/02/2010,2608.125
08/09/2010,2608.125
08/16/2010,2608.125
08/23/2010,2608.125
08/30/2010,2608.125
09/06/2010,2608.125
09/13/2010,2608.125
09/20/2010,2608.125
09/27/2010,2608.125
10/04/2010,2608.125
10/11/2010,2608.125
10/18/2010,2608.125
10/25/2010,2608.125
11/01/2010,2608.125
11/08/2010,2608.125
11/15/2010,2608.125
11/22/2010,2608.125
11/29/2010,2608.125
12/06/2010,2608.125
12/13/2010,2608.125
12/20/2010,2608.125
12/27/2010,2608.125
01/03/2011,3025.17307692308
01/10/2011,3025.17307692308
01/17/2011,3025.17307692308
01/24/2011,3025.17307692308
01/31/2011,3025.17307692308
02/07/2011,3025.17307692308
02/14/2011,3025.17307692308
02/21/2011,3025.17307692308
02/28/2011,3025.17307692308
03/07/2011,3025.17307692308
03/14/2011,3025.17307692308
03/21/2011,3025.17307692308
03/28/2011,3025.17307692308
04/04/2011,3025.17307692308
04/11/2011,3025.17307692308
04/18/2011,3025.17307692308
04/25/2011,3025.17307692308
05/02/2011,3025.17307692308
05/09/2011,3025.17307692308
05/16/2011,3025.17307692308
05/23/2011,3025.17307692308
05/30/2011,3025.17307692308
06/06/2011,3025.17307692308
06/13/2011,3025.17307692308
06/20/2011,3025.17307692308
06/27/2011,3025.17307692308
07/04/2011,3025.17307692308
07/11/2011,3025.17307692308
07/18/2011,3025.17307692308
07/25/2011,3025.17307692308
08/01/2011,3025.17307692308
08/08/2011,3025.17307692308
08/15/2011,3025.17307692308
08/22/2011,3025.17307692308
08/29/2011,3025.17307692308
09/05/2011,3025.17307692308
09/12/2011,3025.17307692308
09/19/2011,3025.17307692308
09/26/2011,3025.17307692308
10/03/2011,3025.17307692308
10/10/2011,3025.17307692308
10/17/2011,3025.17307692308
10/24/2011,3025.17307692308
10/31/2011,3025.17307692308
11/07/2011,3025.17307692308
11/14/2011,3025.17307692308
11/21/2011,3025.17307692308
11/28/2011,3025.17307692308
12/05/2011,3025.17307692308
12/12/2011,3025.17307692308
12/19/2011,3025.17307692308
12/26/2011,3025.17307692308
01/02/2012,3256.45283018868
01/09/2012,3256.45283018868
01/16/2012,3256.45283018868
01/23/2012,3256.45283018868
01/30/2012,3256.45283018868
02/06/2012,3256.45283018868
02/13/2012,3256.45283018868
02/20/2012,3256.45283018868
02/27/2012,3256.45283018868
03/05/2012,3256.45283018868
03/12/2012,3256.45283018868
03/19/2012,3256.45283018868
03/26/2012,3256.45283018868
04/02/2012,3256.45283018868
04/09/2012,3256.45283018868
04/16/2012,3256.45283018868
04/23/2012,3256.45283018868
04/30/2012,3256.45283018868
05/07/2012,3256.45283018868
05/14/2012,3256.45283018868
05/21/2012,3256.45283018868
05/28/2012,3256.45283018868
06/04/2012,3256.45283018868
06/11/2012,3256.45283018868
06/18/2012,3256.45283018868
06/25/2012,3256.45283018868
07/02/2012,3256.45283018868
07/09/2012,3256.45283018868
07/16/2012,3256.45283018868
07/23/2012,3256.45283018868
07/30/2012,3256.45283018868
08/06/2012,3256.45283018868
08/13/2012,3256.45283018868
08/20/2012,3256.45283018868
08/27/2012,3256.45283018868
09/03/2012,3256.45283018868
09/10/2012,3256.45283018868
09/17/2012,3256.45283018868
09/24/2012,3256.45283018868
10/01/2012,3256.45283018868
10/08/2012,3256.45283018868
10/15/2012,3256.45283018868
10/22/2012,3256.45283018868
10/29/2012,3256.45283018868
11/05/2012,3256.45283018868
11/12/2012,3256.45283018868
11/19/2012,3256.45283018868
11/26/2012,3256.45283018868
12/03/2012,3256.45283018868
12/10/2012,3256.45283018868
12/17/2012,3256.45283018868
12/24/2012,3256.45283018868
12/31/2012,3256.45283018868
01/07/2013,3955.09615384615
01/14/2013,3955.09615384615
01/21/2013,3955.09615384615
01/28/2013,3955.09615384615
02/04/2013,3955.09615384615
02/11/2013,3955.09615384615
02/18/2013,3955.09615384615
02/25/2013,3955.09615384615
03/04/2013,3955.09615384615
03/11/2013,3955.09615384615
03/18/2013,3955.09615384615
03/25/2013,3955.09615384615
04/01/2013,3955.09615384615
04/08/2013,3955.09615384615
04/15/2013,3955.09615384615
04/22/2013,3955.09615384615
04/29/2013,3955.09615384615
05/06/2013,3955.09615384615
05/13/2013,3955.09615384615
05/20/2013,3955.09615384615
05/27/2013,3955.09615384615
06/03/2013,3955.09615384615
06/10/2013,3955.09615384615
06/17/2013,3955.09615384615
06/24/2013,3955.09615384615
07/01/2013,3955.09615384615
07/08/2013,3955.09615384615
07/15/2013,3955.09615384615
07/22/2013,3955.09615384615
07/29/2013,3955.09615384615
08/05/2013,3955.09615384615
08/12/2013,3955.09615384615
08/19/2013,3955.09615384615
08/26/2013,3955.09615384615
09/02/2013,3955.09615384615
09/09/2013,3955.09615384615
09/16/2013,3955.09615384615
09/23/2013,3955.09615384615
09/30/2013,3955.09615384615
10/07/2013,3955.09615384615
10/14/2013,3955.09615384615
10/21/2013,3955.09615384615
10/28/2013,3955.09615384615
11/04/2013,3955.09615384615
11/11/2013,3955.09615384615
11/18/2013,3955.09615384615
11/25/2013,3955.09615384615
12/02/2013,3955.09615384615
12/09/2013,3955.09615384615
12/16/2013,3955.09615384615
12/23/2013,3955.09615384615
12/30/2013,3955.09615384615
01/06/2014,3809.89537338846
01/13/2014,3809.89537338846
01/20/2014,3809.89537338846
01/27/2014,3809.89537338846
02/03/2014,3809.89537338846
02/10/2014,3809.89537338846
02/17/2014,3809.89537338846
02/24/2014,3809.89537338846
03/03/2014,3809.89537338846
03/10/2014,3809.89537338846
03/17/2014,3809.89537338846
03/24/2014,3809.89537338846
03/31/2014,3809.89537338846
04/07/2014,3809.89537338846
04/14/2014,3809.89537338846
04/21/2014,3809.89537338846
04/28/2014,3809.89537338846
05/05/2014,3809.89537338846
05/12/2014,3809.89537338846
05/19/2014,3809.89537338846
05/26/2014,3809.89537338846
06/02/2014,3809.89537338846
06/09/2014,3809.89537338846
06/16/2014,3809.89537338846
06/23/2014,3809.89537338846
06/30/2014,3809.89537338846
07/07/2014,3809.89537338846
07/14/2014,3809.89537338846
07/21/2014,3809.89537338846
07/28/2014,3809.89537338846
08/04/2014,3809.89537338846
08/11/2014,3809.89537338846
08/18/2014,3809.89537338846
08/25/2014,3809.89537338846
09/01/2014,3809.89537338846
09/08/2014,3809.89537338846
09/15/2014,3809.89537338846
09/22/2014,3809.89537338846
09/29/2014,3809.89537338846
10/06/2014,3809.89537338846
10/13/2014,3809.89537338846
10/20/2014,3809.89537338846
10/27/2014,3809.89537338846
11/03/2014,3809.89537338846
11/10/2014,3809.89537338846
11/17/2014,3809.89537338846
11/24/2014,3809.89537338846
12/01/2014,3809.89537338846
12/08/2014,3809.89537338846
12/15/2014,3809.89537338846
12/22/2014,3809.89537338846
12/29/2014,3809.89537338846
01/05/2015,5049.68054285731
01/12/2015,5049.68054285731
01/19/2015,5049.68054285731
01/26/2015,5049.68054285731
02/02/2015,5049.68054285731
02/09/2015,5049.68054285731
02/16/2015,5049.68054285731
02/23/2015,5049.68054285731
03/02/2015,5049.68054285731
03/09/2015,5049.68054285731
03/16/2015,5049.68054285731
03/23/2015,5049.68054285731
03/30/2015,5049.68054285731
04/06/2015,5049.68054285731
04/13/2015,5049.68054285731
04/20/2015,5049.68054285731
04/27/2015,5049.68054285731
05/04/2015,5049.68054285731
05/11/2015,5049.68054285731
05/18/2015,5049.68054285731
05/25/2015,5049.68054285731
06/01/2015,5049.68054285731
06/08/2015,5049.68054285731
06/15/2015,5049.68054285731
06/22/2015,5049.68054285731
06/29/2015,5049.68054285731
07/06/2015,5049.68054285731
07/13/2015,5049.68054285731
07/20/2015,5049.68054285731
07/27/2015,5049.68054285731
08/03/2015,5049.68054285731
08/10/2015,5049.68054285731
08/17/2015,5049.68054285731
08/24/2015,5049.68054285731
08/31/2015,5049.68054285731
09/07/2015,5049.68054285731
09/14/2015,5049.68054285731
09/21/2015,5049.68054285731
09/28/2015,5049.68054285731
10/05/2015,5049.68054285731
10/12/2015,5049.68054285731
10/19/2015,5049.68054285731
10/26/2015,5049.68054285731
11/02/2015,5049.68054285731
11/09/2015,5049.68054285731
11/16/2015,5049.68054285731
11/23/2015,5049.68054285731
11/30/2015,5049.68054285731
12/07/2015,5049.68054285731
12/14/2015,5049.68054285731
12/21/2015,5049.68054285731
12/28/2015,5049.68054285731
01/04/2016,4978.01511545115
01/11/2016,4978.01511545115
01/18/2016,4978.01511545115
01/25/2016,4978.01511545115
02/01/2016,4978.01511545115
02/08/2016,4978.01511545115
02/15/2016,4978.01511545115
02/22/2016,4978.01511545115
02/29/2016,4978.01511545115
03/07/2016,4978.01511545115
03/14/2016,4978.01511545115
03/21/2016,4978.01511545115
03/28/2016,4978.01511545115
04/04/2016,4978.01511545115
04/11/2016,4978.01511545115
04/18/2016,4978.01511545115
04/25/2016,4978.01511545115
05/02/2016,4978.01511545115
05/09/2016,4978.01511545115
05/16/2016,4978.01511545115
05/23/2016,4978.01511545115
05/30/2016,4978.01511545115
06/06/2016,4978.01511545115
06/13/2016,4978.01511545115
06/20/2016,4978.01511545115
06/27/2016,4978.01511545115
07/04/2016,4978.01511545115
07/11/2016,4978.01511545115
07/18/2016,4978.01511545115
07/25/2016,4978.01511545115
08/01/2016,4978.01511545115
08/08/2016,4978.01511545115
08/15/2016,4978.01511545115
08/22/2016,4978.01511545115
08/29/2016,4978.01511545115
09/05/2016,4978.01511545115
09/12/2016,4978.01511545115
09/19/2016,4978.01511545115
09/26/2016,4978.01511545115
10/03/2016,4978.01511545115
10/10/2016,4978.01511545115
10/17/2016,4978.01511545115
10/24/2016,4978.01511545115
10/31/2016,4978.01511545115
11/07/2016,4978.01511545115
11/14/2016,4978.01511545115
11/21/2016,4978.01511545115
11/28/2016,4978.01511545115
12/05/2016,4978.01511545115
12/12/2016,4978.01511545115
12/19/2016,4978.01511545115
12/26/2016,4978.01511545115
01/02/2017,5280.03008838423
01/09/2017,5280.03008838423
01/16/2017,5280.03008838423
01/23/2017,5280.03008838423
01/30/2017,5280.03008838423
02/06/2017,5280.03008838423
02/13/2017,5280.03008838423
02/20/2017,5280.03008838423
02/27/2017,5280.03008838423
03/06/2017,5280.03008838423
03/13/2017,5280.03008838423
03/20/2017,5280.03008838423
03/27/2017,5280.03008838423
04/03/2017,5280.03008838423
04/10/2017,5280.03008838423
04/17/2017,5280.03008838423
04/24/2017,5280.03008838423
05/01/2017,5280.03008838423
05/08/2017,5280.03008838423
05/15/2017,5280.03008838423
05/22/2017,5280.03008838423
05/29/2017,5280.03008838423
06/05/2017,5280.03008838423
06/12/2017,5280.03008838423
06/19/2017,5280.03008838423
06/26/2017,5280.03008838423
07/03/2017,5280.03008838423
07/10/2017,5280.03008838423
07/17/2017,5280.03008838423
07/24/2017,5280.03008838423
07/31/2017,5280.03008838423
08/07/2017,5280.03008838423
08/14/2017,5280.03008838423
08/21/2017,5280.03008838423
08/28/2017,5280.03008838423
09/04/2017,5280.03008838423
09/11/2017,5280.03008838423
09/18/2017,5280.03008838423
09/25/2017,5280.03008838423
10/02/2017,5280.03008838423
10/09/2017,5280.03008838423
10/16/2017,5280.03008838423
10/23/2017,5280.03008838423
10/30/2017,5280.03008838423
11/06/2017,5280.03008838423
11/13/2017,5280.03008838423
11/20/2017,5280.03008838423
11/27/2017,5280.03008838423
12/04/2017,5280.03008838423
12/11/2017,5280.03008838423
12/18/2017,5280.03008838423
12/25/2017,5280.03008838423
01/01/2018,5857.53424253019
01/08/2018,5857.53424253019
01/15/2018,5857.53424253019
01/22/2018,5857.53424253019
01/29/2018,5857.53424253019
02/05/2018,5857.53424253019
02/12/2018,5857.53424253019
02/19/2018,5857.53424253019
02/26/2018,5857.53424253019
03/05/2018,5857.53424253019
03/12/2018,5857.53424253019
03/19/2018,5857.53424253019
03/26/2018,5857.53424253019
04/02/2018,5857.53424253019
04/09/2018,5857.53424253019
04/16/2018,5857.53424253019
04/23/2018,5857.53424253019
04/30/2018,5857.53424253019
05/07/2018,5857.53424253019
05/14/2018,5857.53424253019
05/21/2018,5857.53424253019
05/28/2018,5857.53424253019
06/04/2018,5857.53424253019
06/11/2018,5857.53424253019
06/18/2018,5857.53424253019
06/25/2018,5857.53424253019
07/02/2018,5857.53424253019
07/09/2018,5857.53424253019
07/16/2018,5857.53424253019
07/23/2018,5857.53424253019
07/30/2018,5857.53424253019
08/06/2018,5857.53424253019
08/13/2018,5857.53424253019
08/20/2018,5857.53424253019
08/27/2018,5857.53424253019
09/03/2018,5857.53424253019
09/10/2018,5857.53424253019
09/17/2018,5857.53424253019
09/24/2018,5857.53424253019
10/01/2018,5857.53424253019
10/08/2018,5857.53424253019
10/15/2018,5857.53424253019
10/22/2018,5857.53424253019
10/29/2018,5857.53424253019
11/05/2018,5857.53424253019
11/12/2018,5857.53424253019
11/19/2018,5857.53424253019
11/26/2018,5857.53424253019
12/03/2018,5857.53424253019
12/10/2018,5857.53424253019
12/17/2018,5857.53424253019
12/24/2018,5857.53424253019
12/31/2018,5857.53424253019
01/07/2019,8224.99072300923
01/14/2019,8224.99072300923
01/21/2019,8224.99072300923
01/28/2019,8224.99072300923
02/04/2019,8224.99072300923
02/11/2019,8224.99072300923
02/18/2019,8224.99072300923
02/25/2019,8224.99072300923
03/04/2019,8224.99072300923
03/11/2019,8224.99072300923
03/18/2019,8224.99072300923
03/25/2019,8224.99072300923
04/01/2019,8224.99072300923
04/08/2019,8224.99072300923
04/15/2019,8224.99072300923
04/22/2019,8224.99072300923
04/29/2019,8224.99072300923
05/06/2019,8224.99072300923
05/13/2019,8224.99072300923
05/20/2019,8224.99072300923
05/27/2019,8224.99072300923
06/03/2019,8224.99072300923
06/10/2019,8224.99072300923
06/17/2019,8224.99072300923
06/24/2019,8224.99072300923
07/01/2019,8224.99072300923
07/08/2019,8224.99072300923
07/15/2019,8224.99072300923
07/22/2019,8224.99072300923
07/29/2019,8224.99072300923
08/05/2019,8224.99072300923
08/12/2019,8224.99072300923
08/19/2019,8224.99072300923
08/26/2019,8224.99072300923
09/02/2019,8224.99072300923
09/09/2019,8224.99072300923
09/16/2019,8224.99072300923
09/23/2019,8224.99072300923
09/30/2019,8224.99072300923
10/07/2019,8224.99072300923
10/14/2019,8224.99072300923
10/21/2019,8224.99072300923
10/28/2019,8224.99072300923
11/04/2019,8224.99072300923
11/11/2019,8224.99072300923
11/18/2019,8224.99072300923
11/25/2019,8224.99072300923
12/02/2019,8224.99072300923
12/09/2019,8224.99072300923
12/16/2019,8224.99072300923
12/23/2019,8224.99072300923
12/30/2019,8224.99072300923
01/06/2020,4583.17307692308
01/13/2020,4583.17307692308
01/20/2020,4583.17307692308
01/27/2020,4583.17307692308
02/03/2020,4583.17307692308
02/10/2020,4583.17307692308
02/17/2020,4583.17307692308
02/24/2020,4583.17307692308
03/02/2020,4583.17307692308
03/09/2020,4583.17307692308
03/16/2020,4583.17307692308
03/23/2020,4583.17307692308
03/30/2020,4583.17307692308
04/06/2020,4583.17307692308
04/13/2020,4583.17307692308
04/20/2020,4583.17307692308
04/27/2020,4583.17307692308
05/04/2020,4583.17307692308
05/11/2020,4583.17307692308
05/18/2020,4583.17307692308
05/25/2020,4583.17307692308
06/01/2020,4583.17307692308
06/08/2020,4583.17307692308
06/15/2020,4583.17307692308
06/22/2020,4583.17307692308
06/29/2020,4583.17307692308
07/06/2020,4583.17307692308
07/13/2020,4583.17307692308
07/20/2020,4583.17307692308
07/27/2020,4583.17307692308
08/03/2020,4583.17307692308
08/10/2020,4583.17307692308
08/17/2020,4583.17307692308
08/24/2020,4583.17307692308
08/31/2020,4583.17307692308
09/07/2020,4583.17307692308
09/14/2020,4583.17307692308
09/21/2020,4583.17307692308
09/28/2020,4583.17307692308
10/05/2020,4583.17307692308
10/12/2020,4583.17307692308
10/19/2020,4583.17307692308
10/26/2020,4583.17307692308
11/02/2020,4583.17307692308
11/09/2020,4583.17307692308
11/16/2020,4583.17307692308
11/23/2020,4583.17307692308
11/30/2020,4583.17307692308
12/07/2020,4583.17307692308
12/14/2020,4583.17307692308
12/21/2020,4583.17307692308
12/28/2020,4583.17307692308
01/04/2021,5500.6602683475
01/11/2021,5500.6602683475
01/18/2021,5500.6602683475
01/25/2021,5500.6602683475
02/01/2021,5500.6602683475
02/08/2021,5500.6602683475
02/15/2021,5500.6602683475
02/22/2021,5500.6602683475
03/01/2021,5500.6602683475
03/08/2021,5500.6602683475
03/15/2021,5500.6602683475
03/22/2021,5500.6602683475
03/29/2021,5500.6602683475
04/05/2021,5500.6602683475
04/12/2021,5500.6602683475
04/19/2021,5500.6602683475
04/26/2021,5500.6602683475
05/03/2021,5500.6602683475
05/10/2021,5500.6602683475
05/17/2021,5500.6602683475
05/24/2021,5500.6602683475
05/31/2021,5500.6602683475
06/07/2021,5500.6602683475
06/14/2021,5500.6602683475
06/21/2021,5500.6602683475
06/28/2021,5500.6602683475
07/05/2021,5500.6602683475
07/12/2021,5500.6602683475
07/19/2021,5500.6602683475
07/26/2021,5500.6602683475
08/02/2021,5500.6602683475
08/09/2021,5500.6602683475
08/16/2021,5500.6602683475
08/23/2021,5500.6602683475
08/30/2021,5500.6602683475
09/06/2021,5500.6602683475
09/13/2021,5500.6602683475
09/20/2021,5500.6602683475
09/27/2021,5500.6602683475
10/04/2021,5500.6602683475
10/11/2021,5500.6602683475
10/18/2021,5500.6602683475
10/25/2021,5500.6602683475
11/01/2021,5500.6602683475
11/08/2021,5500.6602683475
11/15/2021,5500.6602683475
11/22/2021,5500.6602683475
11/29/2021,5500.6602683475
12/06/2021,5500.6602683475
12/13/2021,5500.6602683475
12/20/2021,5500.6602683475
12/27/2021,5500.6602683475
01/03/2022,10265.75
01/10/2022,10265.75
01/17/2022,10265.75
01/24/2022,10265.75
01/31/2022,10265.75
02/07/2022,10265.75
02/14/2022,10265.75
02/21/2022,10265.75
02/28/2022,10265.75
03/07/2022,10265.75
03/14/2022,10265.75
03/21/2022,10265.75
03/28/2022,10265.75
04/04/2022,10265.75
04/11/2022,10265.75
04/18/2022,10265.75
04/25/2022,10265.75
05/02/2022,10265.75
05/09/2022,10265.75
05/16/2022,10265.75
05/23/2022,10265.75
05/30/2022,10265.75
06/06/2022,10265.75
06/13/2022,10265.75
06/20/2022,10265.75
06/27/2022,10265.75
07/04/2022,10265.75
07/11/2022,10265.75
07/18/2022,10265.75
07/25/2022,10265.75
08/01/2022,10265.75
08/08/2022,10265.75
08/15/2022,10265.75
08/22/2022,10265.75
08/29/2022,10265.75
09/05/2022,10265.75
09/12/2022,10265.75
09/19/2022,10265.75
09/26/2022,10265.75
10/03/2022,10265.75
10/10/2022,10265.75
10/17/2022,10265.75
10/24/2022,10265.75
10/31/2022,10265.75
11/07/2022,10265.75
11/14/2022,10265.75
11/21/2022,10265.75
11/28/2022,10265.75
12/05/2022,10265.75
12/12/2022,10265.75
12/19/2022,10265.75
12/26/2022,10265.75
01/02/2023,17521.3198974287
01/09/2023,17521.3198974287
01/16/2023,17521.3198974287
01/23/2023,17521.3198974287
01/30/2023,17521.3198974287
02/06/2023,17521.3198974287
02/13/2023,17521.3198974287
02/20/2023,17521.3198974287
02/27/2023,17521.3198974287
03/06/2023,17521.3198974287
03/13/2023,17521.3198974287
03/20/2023,17521.3198974287
03/27/2023,17521.3198974287
04/03/2023,17521.3198974287
04/10/2023,17521.3198974287
04/17/2023,17521.3198974287
04/24/2023,17521.3198974287
05/01/2023,17521.3198974287
05/08/2023,17521.3198974287
05/15/2023,17521.3198974287
05/22/2023,17521.3198974287
05/29/2023,17521.3198974287
06/05/2023,17521.3198974287
06/12/2023,17521.3198974287
06/19/2023,17521.3198974287
06/26/2023,17521.3198974287
07/03/2023,17521.3198974287
