,"Revenue: Tax: Taxes on Income, Profits and Capital Gains"
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,264131202
SR Code,SR5468529
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on income, profits, and capital gains are levied on the actual or presumptive net income of individuals, on the profits of corporations and enterprises, and on capital gains, whether realized or not, on land, securities, and other assets. Intragovernmental payments are eliminated in consolidation.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,2945.08658360495
Variance,12603677.869116029
Standard Deviation,3550.1658931824622
Skewness,2.2722706382919635
Kurtosis,6.186721924635577
Coefficient Variation,1.2054538270439783
Min,138.43396226415095
Max,17521.319897428653
Median,1547.7692307692307
Sum,
Subtract,
10/08/1990,138.433962264151
10/15/1990,138.433962264151
10/22/1990,138.433962264151
10/29/1990,138.433962264151
11/05/1990,138.433962264151
11/12/1990,138.433962264151
11/19/1990,138.433962264151
11/26/1990,138.433962264151
12/03/1990,138.433962264151
12/10/1990,138.433962264151
12/17/1990,138.433962264151
12/24/1990,138.433962264151
12/31/1990,138.433962264151
01/07/1991,186.961538461538
01/14/1991,186.961538461538
01/21/1991,186.961538461538
01/28/1991,186.961538461538
02/04/1991,186.961538461538
02/11/1991,186.961538461538
02/18/1991,186.961538461538
02/25/1991,186.961538461538
03/04/1991,186.961538461538
03/11/1991,186.961538461538
03/18/1991,186.961538461538
03/25/1991,186.961538461538
04/01/1991,186.961538461538
04/08/1991,186.961538461538
04/15/1991,186.961538461538
04/22/1991,186.961538461538
04/29/1991,186.961538461538
05/06/1991,186.961538461538
05/13/1991,186.961538461538
05/20/1991,186.961538461538
05/27/1991,186.961538461538
06/03/1991,186.961538461538
06/10/1991,186.961538461538
06/17/1991,186.961538461538
06/24/1991,186.961538461538
07/01/1991,186.961538461538
07/08/1991,186.961538461538
07/15/1991,186.961538461538
07/22/1991,186.961538461538
07/29/1991,186.961538461538
08/05/1991,186.961538461538
08/12/1991,186.961538461538
08/19/1991,186.961538461538
08/26/1991,186.961538461538
09/02/1991,186.961538461538
09/09/1991,186.961538461538
09/16/1991,186.961538461538
09/23/1991,186.961538461538
09/30/1991,186.961538461538
10/07/1991,186.961538461538
10/14/1991,186.961538461538
10/21/1991,186.961538461538
10/28/1991,186.961538461538
11/04/1991,186.961538461538
11/11/1991,186.961538461538
11/18/1991,186.961538461538
11/25/1991,186.961538461538
12/02/1991,186.961538461538
12/09/1991,186.961538461538
12/16/1991,186.961538461538
12/23/1991,186.961538461538
12/30/1991,186.961538461538
01/06/1992,210.903846153846
01/13/1992,210.903846153846
01/20/1992,210.903846153846
01/27/1992,210.903846153846
02/03/1992,210.903846153846
02/10/1992,210.903846153846
02/17/1992,210.903846153846
02/24/1992,210.903846153846
03/02/1992,210.903846153846
03/09/1992,210.903846153846
03/16/1992,210.903846153846
03/23/1992,210.903846153846
03/30/1992,210.903846153846
04/06/1992,210.903846153846
04/13/1992,210.903846153846
04/20/1992,210.903846153846
04/27/1992,210.903846153846
05/04/1992,210.903846153846
05/11/1992,210.903846153846
05/18/1992,210.903846153846
05/25/1992,210.903846153846
06/01/1992,210.903846153846
06/08/1992,210.903846153846
06/15/1992,210.903846153846
06/22/1992,210.903846153846
06/29/1992,210.903846153846
07/06/1992,210.903846153846
07/13/1992,210.903846153846
07/20/1992,210.903846153846
07/27/1992,210.903846153846
08/03/1992,210.903846153846
08/10/1992,210.903846153846
08/17/1992,210.903846153846
08/24/1992,210.903846153846
08/31/1992,210.903846153846
09/07/1992,210.903846153846
09/14/1992,210.903846153846
09/21/1992,210.903846153846
09/28/1992,210.903846153846
10/05/1992,210.903846153846
10/12/1992,210.903846153846
10/19/1992,210.903846153846
10/26/1992,210.903846153846
11/02/1992,210.903846153846
11/09/1992,210.903846153846
11/16/1992,210.903846153846
11/23/1992,210.903846153846
11/30/1992,210.903846153846
12/07/1992,210.903846153846
12/14/1992,210.903846153846
12/21/1992,210.903846153846
12/28/1992,210.903846153846
01/04/1993,262.653846153846
01/11/1993,262.653846153846
01/18/1993,262.653846153846
01/25/1993,262.653846153846
02/01/1993,262.653846153846
02/08/1993,262.653846153846
02/15/1993,262.653846153846
02/22/1993,262.653846153846
03/01/1993,262.653846153846
03/08/1993,262.653846153846
03/15/1993,262.653846153846
03/22/1993,262.653846153846
03/29/1993,262.653846153846
04/05/1993,262.653846153846
04/12/1993,262.653846153846
04/19/1993,262.653846153846
04/26/1993,262.653846153846
05/03/1993,262.653846153846
05/10/1993,262.653846153846
05/17/1993,262.653846153846
05/24/1993,262.653846153846
05/31/1993,262.653846153846
06/07/1993,262.653846153846
06/14/1993,262.653846153846
06/21/1993,262.653846153846
06/28/1993,262.653846153846
07/05/1993,262.653846153846
07/12/1993,262.653846153846
07/19/1993,262.653846153846
07/26/1993,262.653846153846
08/02/1993,262.653846153846
08/09/1993,262.653846153846
08/16/1993,262.653846153846
08/23/1993,262.653846153846
08/30/1993,262.653846153846
09/06/1993,262.653846153846
09/13/1993,262.653846153846
09/20/1993,262.653846153846
09/27/1993,262.653846153846
10/04/1993,262.653846153846
10/11/1993,262.653846153846
10/18/1993,262.653846153846
10/25/1993,262.653846153846
11/01/1993,262.653846153846
11/08/1993,262.653846153846
11/15/1993,262.653846153846
11/22/1993,262.653846153846
11/29/1993,262.653846153846
12/06/1993,262.653846153846
12/13/1993,262.653846153846
12/20/1993,262.653846153846
12/27/1993,262.653846153846
01/03/1994,293.788461538462
01/10/1994,293.788461538462
01/17/1994,293.788461538462
01/24/1994,293.788461538462
01/31/1994,293.788461538462
02/07/1994,293.788461538462
02/14/1994,293.788461538462
02/21/1994,293.788461538462
02/28/1994,293.788461538462
03/07/1994,293.788461538462
03/14/1994,293.788461538462
03/21/1994,293.788461538462
03/28/1994,293.788461538462
04/04/1994,293.788461538462
04/11/1994,293.788461538462
04/18/1994,293.788461538462
04/25/1994,293.788461538462
05/02/1994,293.788461538462
05/09/1994,293.788461538462
05/16/1994,293.788461538462
05/23/1994,293.788461538462
05/30/1994,293.788461538462
06/06/1994,293.788461538462
06/13/1994,293.788461538462
06/20/1994,293.788461538462
06/27/1994,293.788461538462
07/04/1994,293.788461538462
07/11/1994,293.788461538462
07/18/1994,293.788461538462
07/25/1994,293.788461538462
08/01/1994,293.788461538462
08/08/1994,293.788461538462
08/15/1994,293.788461538462
08/22/1994,293.788461538462
08/29/1994,293.788461538462
09/05/1994,293.788461538462
09/12/1994,293.788461538462
09/19/1994,293.788461538462
09/26/1994,293.788461538462
10/03/1994,293.788461538462
10/10/1994,293.788461538462
10/17/1994,293.788461538462
10/24/1994,293.788461538462
10/31/1994,293.788461538462
11/07/1994,293.788461538462
11/14/1994,293.788461538462
11/21/1994,293.788461538462
11/28/1994,293.788461538462
12/05/1994,293.788461538462
12/12/1994,293.788461538462
12/19/1994,293.788461538462
12/26/1994,293.788461538462
01/02/1995,330.019230769231
01/09/1995,330.019230769231
01/16/1995,330.019230769231
01/23/1995,330.019230769231
01/30/1995,330.019230769231
02/06/1995,330.019230769231
02/13/1995,330.019230769231
02/20/1995,330.019230769231
02/27/1995,330.019230769231
03/06/1995,330.019230769231
03/13/1995,330.019230769231
03/20/1995,330.019230769231
03/27/1995,330.019230769231
04/03/1995,330.019230769231
04/10/1995,330.019230769231
04/17/1995,330.019230769231
04/24/1995,330.019230769231
05/01/1995,330.019230769231
05/08/1995,330.019230769231
05/15/1995,330.019230769231
05/22/1995,330.019230769231
05/29/1995,330.019230769231
06/05/1995,330.019230769231
06/12/1995,330.019230769231
06/19/1995,330.019230769231
06/26/1995,330.019230769231
07/03/1995,330.019230769231
07/10/1995,330.019230769231
07/17/1995,330.019230769231
07/24/1995,330.019230769231
07/31/1995,330.019230769231
08/07/1995,330.019230769231
08/14/1995,330.019230769231
08/21/1995,330.019230769231
08/28/1995,330.019230769231
09/04/1995,330.019230769231
09/11/1995,330.019230769231
09/18/1995,330.019230769231
09/25/1995,330.019230769231
10/02/1995,330.019230769231
10/09/1995,330.019230769231
10/16/1995,330.019230769231
10/23/1995,330.019230769231
10/30/1995,330.019230769231
11/06/1995,330.019230769231
11/13/1995,330.019230769231
11/20/1995,330.019230769231
11/27/1995,330.019230769231
12/04/1995,330.019230769231
12/11/1995,330.019230769231
12/18/1995,330.019230769231
12/25/1995,330.019230769231
01/01/1996,391.528301886792
01/08/1996,391.528301886792
01/15/1996,391.528301886792
01/22/1996,391.528301886792
01/29/1996,391.528301886792
02/05/1996,391.528301886792
02/12/1996,391.528301886792
02/19/1996,391.528301886792
02/26/1996,391.528301886792
03/04/1996,391.528301886792
03/11/1996,391.528301886792
03/18/1996,391.528301886792
03/25/1996,391.528301886792
04/01/1996,391.528301886792
04/08/1996,391.528301886792
04/15/1996,391.528301886792
04/22/1996,391.528301886792
04/29/1996,391.528301886792
05/06/1996,391.528301886792
05/13/1996,391.528301886792
05/20/1996,391.528301886792
05/27/1996,391.528301886792
06/03/1996,391.528301886792
06/10/1996,391.528301886792
06/17/1996,391.528301886792
06/24/1996,391.528301886792
07/01/1996,391.528301886792
07/08/1996,391.528301886792
07/15/1996,391.528301886792
07/22/1996,391.528301886792
07/29/1996,391.528301886792
08/05/1996,391.528301886792
08/12/1996,391.528301886792
08/19/1996,391.528301886792
08/26/1996,391.528301886792
09/02/1996,391.528301886792
09/09/1996,391.528301886792
09/16/1996,391.528301886792
09/23/1996,391.528301886792
09/30/1996,391.528301886792
10/07/1996,391.528301886792
10/14/1996,391.528301886792
10/21/1996,391.528301886792
10/28/1996,391.528301886792
11/04/1996,391.528301886792
11/11/1996,391.528301886792
11/18/1996,391.528301886792
11/25/1996,391.528301886792
12/02/1996,391.528301886792
12/09/1996,391.528301886792
12/16/1996,391.528301886792
12/23/1996,391.528301886792
12/30/1996,391.528301886792
01/06/1997,414.365384615385
01/13/1997,414.365384615385
01/20/1997,414.365384615385
01/27/1997,414.365384615385
02/03/1997,414.365384615385
02/10/1997,414.365384615385
02/17/1997,414.365384615385
02/24/1997,414.365384615385
03/03/1997,414.365384615385
03/10/1997,414.365384615385
03/17/1997,414.365384615385
03/24/1997,414.365384615385
03/31/1997,414.365384615385
04/07/1997,414.365384615385
04/14/1997,414.365384615385
04/21/1997,414.365384615385
04/28/1997,414.365384615385
05/05/1997,414.365384615385
05/12/1997,414.365384615385
05/19/1997,414.365384615385
05/26/1997,414.365384615385
06/02/1997,414.365384615385
06/09/1997,414.365384615385
06/16/1997,414.365384615385
06/23/1997,414.365384615385
06/30/1997,414.365384615385
07/07/1997,414.365384615385
07/14/1997,414.365384615385
07/21/1997,414.365384615385
07/28/1997,414.365384615385
08/04/1997,414.365384615385
08/11/1997,414.365384615385
08/18/1997,414.365384615385
08/25/1997,414.365384615385
09/01/1997,414.365384615385
09/08/1997,414.365384615385
09/15/1997,414.365384615385
09/22/1997,414.365384615385
09/29/1997,414.365384615385
10/06/1997,414.365384615385
10/13/1997,414.365384615385
10/20/1997,414.365384615385
10/27/1997,414.365384615385
11/03/1997,414.365384615385
11/10/1997,414.365384615385
11/17/1997,414.365384615385
11/24/1997,414.365384615385
12/01/1997,414.365384615385
12/08/1997,414.365384615385
12/15/1997,414.365384615385
12/22/1997,414.365384615385
12/29/1997,414.365384615385
01/05/1998,392.865384615385
01/12/1998,392.865384615385
01/19/1998,392.865384615385
01/26/1998,392.865384615385
02/02/1998,392.865384615385
02/09/1998,392.865384615385
02/16/1998,392.865384615385
02/23/1998,392.865384615385
03/02/1998,392.865384615385
03/09/1998,392.865384615385
03/16/1998,392.865384615385
03/23/1998,392.865384615385
03/30/1998,392.865384615385
04/06/1998,392.865384615385
04/13/1998,392.865384615385
04/20/1998,392.865384615385
04/27/1998,392.865384615385
05/04/1998,392.865384615385
05/11/1998,392.865384615385
05/18/1998,392.865384615385
05/25/1998,392.865384615385
06/01/1998,392.865384615385
06/08/1998,392.865384615385
06/15/1998,392.865384615385
06/22/1998,392.865384615385
06/29/1998,392.865384615385
07/06/1998,392.865384615385
07/13/1998,392.865384615385
07/20/1998,392.865384615385
07/27/1998,392.865384615385
08/03/1998,392.865384615385
