,Petroleum: Imports: Crude Oil: USD
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD mn
Source,Central Bank of Sri Lanka
Status,Active
Series ID,107583001 (LBKDHB)
SR Code,SR1070203
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/07/1991
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
02/24/1992,3.36538461538462
03/02/1992,3.36538461538462
03/09/1992,3.36538461538462
03/16/1992,3.36538461538462
03/23/1992,3.36538461538462
03/30/1992,3.36538461538462
04/06/1992,3.36538461538462
04/13/1992,3.36538461538462
04/20/1992,3.36538461538462
04/27/1992,3.36538461538462
05/04/1992,3.36538461538462
05/11/1992,3.36538461538462
05/18/1992,3.36538461538462
05/25/1992,3.36538461538462
06/01/1992,3.36538461538462
06/08/1992,3.36538461538462
06/15/1992,3.36538461538462
06/22/1992,3.36538461538462
06/29/1992,3.36538461538462
07/06/1992,3.36538461538462
07/13/1992,3.36538461538462
07/20/1992,3.36538461538462
07/27/1992,3.36538461538462
08/03/1992,3.36538461538462
08/10/1992,3.36538461538462
08/17/1992,3.36538461538462
08/24/1992,3.36538461538462
08/31/1992,3.36538461538462
09/07/1992,3.36538461538462
09/14/1992,3.36538461538462
09/21/1992,3.36538461538462
09/28/1992,3.36538461538462
10/05/1992,3.36538461538462
10/12/1992,3.36538461538462
10/19/1992,3.36538461538462
10/26/1992,3.36538461538462
11/02/1992,3.36538461538462
11/09/1992,3.36538461538462
11/16/1992,3.36538461538462
11/23/1992,3.36538461538462
11/30/1992,3.36538461538462
12/07/1992,3.36538461538462
12/14/1992,3.36538461538462
12/21/1992,3.36538461538462
12/28/1992,3.36538461538462
01/04/1993,4.48076923076923
01/11/1993,4.48076923076923
01/18/1993,4.48076923076923
01/25/1993,4.48076923076923
02/01/1993,4.48076923076923
02/08/1993,4.48076923076923
02/15/1993,4.48076923076923
02/22/1993,4.48076923076923
03/01/1993,4.48076923076923
03/08/1993,4.48076923076923
03/15/1993,4.48076923076923
03/22/1993,4.48076923076923
03/29/1993,4.48076923076923
04/05/1993,4.48076923076923
04/12/1993,4.48076923076923
04/19/1993,4.48076923076923
04/26/1993,4.48076923076923
05/03/1993,4.48076923076923
05/10/1993,4.48076923076923
05/17/1993,4.48076923076923
05/24/1993,4.48076923076923
05/31/1993,4.48076923076923
06/07/1993,4.48076923076923
06/14/1993,4.48076923076923
06/21/1993,4.48076923076923
06/28/1993,4.48076923076923
07/05/1993,4.48076923076923
07/12/1993,4.48076923076923
07/19/1993,4.48076923076923
07/26/1993,4.48076923076923
08/02/1993,4.48076923076923
08/09/1993,4.48076923076923
08/16/1993,4.48076923076923
08/23/1993,4.48076923076923
08/30/1993,4.48076923076923
09/06/1993,4.48076923076923
09/13/1993,4.48076923076923
09/20/1993,4.48076923076923
09/27/1993,4.48076923076923
10/04/1993,4.48076923076923
10/11/1993,4.48076923076923
10/18/1993,4.48076923076923
10/25/1993,4.48076923076923
11/01/1993,4.48076923076923
11/08/1993,4.48076923076923
11/15/1993,4.48076923076923
11/22/1993,4.48076923076923
11/29/1993,4.48076923076923
12/06/1993,4.48076923076923
12/13/1993,4.48076923076923
12/20/1993,4.48076923076923
12/27/1993,4.48076923076923
01/03/1994,4.44230769230769
01/10/1994,4.44230769230769
01/17/1994,4.44230769230769
01/24/1994,4.44230769230769
01/31/1994,4.44230769230769
02/07/1994,4.44230769230769
02/14/1994,4.44230769230769
02/21/1994,4.44230769230769
02/28/1994,4.44230769230769
03/07/1994,4.44230769230769
03/14/1994,4.44230769230769
03/21/1994,4.44230769230769
03/28/1994,4.44230769230769
04/04/1994,4.44230769230769
04/11/1994,4.44230769230769
04/18/1994,4.44230769230769
04/25/1994,4.44230769230769
05/02/1994,4.44230769230769
05/09/1994,4.44230769230769
05/16/1994,4.44230769230769
05/23/1994,4.44230769230769
05/30/1994,4.44230769230769
06/06/1994,4.44230769230769
06/13/1994,4.44230769230769
06/20/1994,4.44230769230769
06/27/1994,4.44230769230769
07/04/1994,4.44230769230769
07/11/1994,4.44230769230769
07/18/1994,4.44230769230769
07/25/1994,4.44230769230769
08/01/1994,4.44230769230769
08/08/1994,4.44230769230769
08/15/1994,4.44230769230769
08/22/1994,4.44230769230769
08/29/1994,4.44230769230769
09/05/1994,4.44230769230769
09/12/1994,4.44230769230769
09/19/1994,4.44230769230769
09/26/1994,4.44230769230769
10/03/1994,4.44230769230769
10/10/1994,4.44230769230769
10/17/1994,4.44230769230769
10/24/1994,4.44230769230769
10/31/1994,4.44230769230769
11/07/1994,4.44230769230769
11/14/1994,4.44230769230769
11/21/1994,4.44230769230769
11/28/1994,4.44230769230769
12/05/1994,4.44230769230769
12/12/1994,4.44230769230769
12/19/1994,4.44230769230769
12/26/1994,4.44230769230769
01/02/1995,4.63461538461539
01/09/1995,4.63461538461539
01/16/1995,4.63461538461539
01/23/1995,4.63461538461539
01/30/1995,4.63461538461539
02/06/1995,4.63461538461539
02/13/1995,4.63461538461539
02/20/1995,4.63461538461539
02/27/1995,4.63461538461539
03/06/1995,4.63461538461539
03/13/1995,4.63461538461539
03/20/1995,4.63461538461539
03/27/1995,4.63461538461539
04/03/1995,4.63461538461539
04/10/1995,4.63461538461539
04/17/1995,4.63461538461539
04/24/1995,4.63461538461539
05/01/1995,4.63461538461539
05/08/1995,4.63461538461539
05/15/1995,4.63461538461539
05/22/1995,4.63461538461539
05/29/1995,4.63461538461539
06/05/1995,4.63461538461539
06/12/1995,4.63461538461539
06/19/1995,4.63461538461539
06/26/1995,4.63461538461539
07/03/1995,4.63461538461539
07/10/1995,4.63461538461539
07/17/1995,4.63461538461539
07/24/1995,4.63461538461539
07/31/1995,4.63461538461539
08/07/1995,4.63461538461539
08/14/1995,4.63461538461539
08/21/1995,4.63461538461539
08/28/1995,4.63461538461539
09/04/1995,4.63461538461539
09/11/1995,4.63461538461539
09/18/1995,4.63461538461539
09/25/1995,4.63461538461539
10/02/1995,4.63461538461539
10/09/1995,4.63461538461539
10/16/1995,4.63461538461539
10/23/1995,4.63461538461539
10/30/1995,4.63461538461539
11/06/1995,4.63461538461539
11/13/1995,4.63461538461539
11/20/1995,4.63461538461539
11/27/1995,4.63461538461539
12/04/1995,4.63461538461539
12/11/1995,4.63461538461539
12/18/1995,4.63461538461539
12/25/1995,4.63461538461539
01/01/1996,5.73584905660377
01/08/1996,5.73584905660377
01/15/1996,5.73584905660377
01/22/1996,5.73584905660377
01/29/1996,5.73584905660377
02/05/1996,5.73584905660377
02/12/1996,5.73584905660377
02/19/1996,5.73584905660377
02/26/1996,5.73584905660377
03/04/1996,5.73584905660377
03/11/1996,5.73584905660377
03/18/1996,5.73584905660377
03/25/1996,5.73584905660377
04/01/1996,5.73584905660377
04/08/1996,5.73584905660377
04/15/1996,5.73584905660377
04/22/1996,5.73584905660377
04/29/1996,5.73584905660377
05/06/1996,5.73584905660377
05/13/1996,5.73584905660377
05/20/1996,5.73584905660377
05/27/1996,5.73584905660377
06/03/1996,5.73584905660377
06/10/1996,5.73584905660377
06/17/1996,5.73584905660377
06/24/1996,5.73584905660377
07/01/1996,5.73584905660377
07/08/1996,5.73584905660377
07/15/1996,5.73584905660377
07/22/1996,5.73584905660377
07/29/1996,5.73584905660377
08/05/1996,5.73584905660377
08/12/1996,5.73584905660377
08/19/1996,5.73584905660377
08/26/1996,5.73584905660377
09/02/1996,5.73584905660377
09/09/1996,5.73584905660377
09/16/1996,5.73584905660377
09/23/1996,5.73584905660377
09/30/1996,5.73584905660377
10/07/1996,5.73584905660377
10/14/1996,5.73584905660377
10/21/1996,5.73584905660377
10/28/1996,5.73584905660377
11/04/1996,5.73584905660377
11/11/1996,5.73584905660377
11/18/1996,5.73584905660377
11/25/1996,5.73584905660377
12/02/1996,5.73584905660377
12/09/1996,5.73584905660377
12/16/1996,5.73584905660377
12/23/1996,5.73584905660377
12/30/1996,5.73584905660377
01/06/1997,5.05769230769231
01/13/1997,5.05769230769231
01/20/1997,5.05769230769231
01/27/1997,5.05769230769231
02/03/1997,5.05769230769231
02/10/1997,5.05769230769231
02/17/1997,5.05769230769231
02/24/1997,5.05769230769231
03/03/1997,5.05769230769231
03/10/1997,5.05769230769231
03/17/1997,5.05769230769231
03/24/1997,5.05769230769231
03/31/1997,5.05769230769231
04/07/1997,5.05769230769231
04/14/1997,5.05769230769231
04/21/1997,5.05769230769231
04/28/1997,5.05769230769231
05/05/1997,5.05769230769231
05/12/1997,5.05769230769231
05/19/1997,5.05769230769231
05/26/1997,5.05769230769231
06/02/1997,5.05769230769231
06/09/1997,5.05769230769231
06/16/1997,5.05769230769231
06/23/1997,5.05769230769231
06/30/1997,5.05769230769231
07/07/1997,5.05769230769231
07/14/1997,5.05769230769231
07/21/1997,5.05769230769231
07/28/1997,5.05769230769231
08/04/1997,5.05769230769231
08/11/1997,5.05769230769231
08/18/1997,5.05769230769231
08/25/1997,5.05769230769231
09/01/1997,5.05769230769231
09/08/1997,5.05769230769231
09/15/1997,5.05769230769231
09/22/1997,5.05769230769231
09/29/1997,5.05769230769231
10/06/1997,5.05769230769231
10/13/1997,5.05769230769231
10/20/1997,5.05769230769231
10/27/1997,5.05769230769231
11/03/1997,5.05769230769231
11/10/1997,5.05769230769231
11/17/1997,5.05769230769231
11/24/1997,5.05769230769231
12/01/1997,5.05769230769231
12/08/1997,5.05769230769231
12/15/1997,5.05769230769231
12/22/1997,5.05769230769231
12/29/1997,5.05769230769231
01/05/1998,4.17307692307692
01/12/1998,4.17307692307692
01/19/1998,4.17307692307692
01/26/1998,4.17307692307692
02/02/1998,4.17307692307692
02/09/1998,4.17307692307692
02/16/1998,4.17307692307692
02/23/1998,4.17307692307692
03/02/1998,4.17307692307692
03/09/1998,4.17307692307692
03/16/1998,4.17307692307692
03/23/1998,4.17307692307692
03/30/1998,4.17307692307692
04/06/1998,4.17307692307692
04/13/1998,4.17307692307692
04/20/1998,4.17307692307692
04/27/1998,4.17307692307692
05/04/1998,4.17307692307692
05/11/1998,4.17307692307692
05/18/1998,4.17307692307692
05/25/1998,4.17307692307692
06/01/1998,4.17307692307692
06/08/1998,4.17307692307692
06/15/1998,4.17307692307692
06/22/1998,4.17307692307692
06/29/1998,4.17307692307692
07/06/1998,4.17307692307692
07/13/1998,4.17307692307692
07/20/1998,4.17307692307692
07/27/1998,4.17307692307692
08/03/1998,4.17307692307692
08/10/1998,4.17307692307692
08/17/1998,4.17307692307692
08/24/1998,4.17307692307692
08/31/1998,4.17307692307692
09/07/1998,4.17307692307692
09/14/1998,4.17307692307692
09/21/1998,4.17307692307692
09/28/1998,4.17307692307692
10/05/1998,4.17307692307692
10/12/1998,4.17307692307692
10/19/1998,4.17307692307692
10/26/1998,4.17307692307692
11/02/1998,4.17307692307692
11/09/1998,4.17307692307692
11/16/1998,4.17307692307692
11/23/1998,4.17307692307692
11/30/1998,4.17307692307692
12/07/1998,4.17307692307692
12/14/1998,4.17307692307692
12/21/1998,4.17307692307692
12/28/1998,4.17307692307692
01/04/1999,4.98076923076923
01/11/1999,4.98076923076923
01/18/1999,4.98076923076923
01/25/1999,4.98076923076923
02/01/1999,4.98076923076923
02/08/1999,4.98076923076923
02/15/1999,4.98076923076923
02/22/1999,4.98076923076923
03/01/1999,4.98076923076923
03/08/1999,4.98076923076923
03/15/1999,4.98076923076923
03/22/1999,4.98076923076923
03/29/1999,4.98076923076923
04/05/1999,4.98076923076923
04/12/1999,4.98076923076923
04/19/1999,4.98076923076923
04/26/1999,4.98076923076923
05/03/1999,4.98076923076923
05/10/1999,4.98076923076923
05/17/1999,4.98076923076923
05/24/1999,4.98076923076923
05/31/1999,4.98076923076923
06/07/1999,4.98076923076923
06/14/1999,4.98076923076923
06/21/1999,4.98076923076923
06/28/1999,4.98076923076923
07/05/1999,4.98076923076923
07/12/1999,4.98076923076923
07/19/1999,4.98076923076923
07/26/1999,4.98076923076923
08/02/1999,4.98076923076923
08/09/1999,4.98076923076923
08/16/1999,4.98076923076923
08/23/1999,4.98076923076923
08/30/1999,4.98076923076923
09/06/1999,4.98076923076923
09/13/1999,4.98076923076923
09/20/1999,4.98076923076923
09/27/1999,4.98076923076923
10/04/1999,4.98076923076923
10/11/1999,4.98076923076923
10/18/1999,4.98076923076923
10/25/1999,4.98076923076923
11/01/1999,4.98076923076923
11/08/1999,4.98076923076923
11/15/1999,4.98076923076923
11/22/1999,4.98076923076923
11/29/1999,4.98076923076923
12/06/1999,4.98076923076923
12/13/1999,4.98076923076923
12/20/1999,4.98076923076923
12/27/1999,4.98076923076923
01/03/2000,9.55769230769231
01/10/2000,9.55769230769231
01/17/2000,9.55769230769231
01/24/2000,9.55769230769231
01/31/2000,9.55769230769231
02/07/2000,9.55769230769231
02/14/2000,9.55769230769231
02/21/2000,9.55769230769231
02/28/2000,9.55769230769231
03/06/2000,9.55769230769231
03/13/2000,9.55769230769231
03/20/2000,9.55769230769231
03/27/2000,9.55769230769231
04/03/2000,9.55769230769231
04/10/2000,9.55769230769231
04/17/2000,9.55769230769231
04/24/2000,9.55769230769231
05/01/2000,9.55769230769231
05/08/2000,9.55769230769231
05/15/2000,9.55769230769231
05/22/2000,9.55769230769231
05/29/2000,9.55769230769231
06/05/2000,9.55769230769231
06/12/2000,9.55769230769231
06/19/2000,9.55769230769231
06/26/2000,9.55769230769231
07/03/2000,9.55769230769231
07/10/2000,9.55769230769231
07/17/2000,9.55769230769231
07/24/2000,9.55769230769231
07/31/2000,9.55769230769231
08/07/2000,9.55769230769231
08/14/2000,9.55769230769231
08/21/2000,9.55769230769231
08/28/2000,9.55769230769231
09/04/2000,9.55769230769231
09/11/2000,9.55769230769231
09/18/2000,9.55769230769231
09/25/2000,9.55769230769231
10/02/2000,9.55769230769231
10/09/2000,9.55769230769231
10/16/2000,9.55769230769231
10/23/2000,9.55769230769231
10/30/2000,9.55769230769231
11/06/2000,9.55769230769231
11/13/2000,9.55769230769231
11/20/2000,9.55769230769231
11/27/2000,9.55769230769231
12/04/2000,9.55769230769231
12/11/2000,9.55769230769231
12/18/2000,9.55769230769231
12/25/2000,9.55769230769231
01/01/2001,6.67924528301887
01/08/2001,6.67924528301887
01/15/2001,6.67924528301887
01/22/2001,6.67924528301887
01/29/2001,6.67924528301887
02/05/2001,6.67924528301887
02/12/2001,6.67924528301887
02/19/2001,6.67924528301887
02/26/2001,6.67924528301887
03/05/2001,6.67924528301887
03/12/2001,6.67924528301887
03/19/2001,6.67924528301887
03/26/2001,6.67924528301887
04/02/2001,6.67924528301887
04/09/2001,6.67924528301887
04/16/2001,6.67924528301887
04/23/2001,6.67924528301887
04/30/2001,6.67924528301887
05/07/2001,6.67924528301887
05/14/2001,6.67924528301887
05/21/2001,6.67924528301887
05/28/2001,6.67924528301887
06/04/2001,6.67924528301887
06/11/2001,6.67924528301887
06/18/2001,6.67924528301887
06/25/2001,6.67924528301887
07/02/2001,6.67924528301887
07/09/2001,6.67924528301887
07/16/2001,6.67924528301887
07/23/2001,6.67924528301887
07/30/2001,6.67924528301887
08/06/2001,6.67924528301887
08/13/2001,6.67924528301887
08/20/2001,6.67924528301887
08/27/2001,6.67924528301887
09/03/2001,6.67924528301887
09/10/2001,6.67924528301887
09/17/2001,6.67924528301887
09/24/2001,6.67924528301887
10/01/2001,6.67924528301887
10/08/2001,6.67924528301887
10/15/2001,6.67924528301887
10/22/2001,6.67924528301887
10/29/2001,6.67924528301887
11/05/2001,6.67924528301887
11/12/2001,6.67924528301887
11/19/2001,6.67924528301887
11/26/2001,6.67924528301887
12/03/2001,6.67924528301887
12/10/2001,6.67924528301887
12/17/2001,6.67924528301887
12/24/2001,6.67924528301887
12/31/2001,6.67924528301887
01/07/2002,8.11538461538462
01/14/2002,8.11538461538462
01/21/2002,8.11538461538462
01/28/2002,8.11538461538462
02/04/2002,8.11538461538462
02/11/2002,8.11538461538462
02/18/2002,8.11538461538462
02/25/2002,8.11538461538462
03/04/2002,8.11538461538462
03/11/2002,8.11538461538462
03/18/2002,8.11538461538462
03/25/2002,8.11538461538462
04/01/2002,8.11538461538462
04/08/2002,8.11538461538462
04/15/2002,8.11538461538462
04/22/2002,8.11538461538462
04/29/2002,8.11538461538462
05/06/2002,8.11538461538462
05/13/2002,8.11538461538462
05/20/2002,8.11538461538462
05/27/2002,8.11538461538462
06/03/2002,8.11538461538462
06/10/2002,8.11538461538462
06/17/2002,8.11538461538462
06/24/2002,8.11538461538462
07/01/2002,8.11538461538462
07/08/2002,8.11538461538462
07/15/2002,8.11538461538462
07/22/2002,8.11538461538462
07/29/2002,8.11538461538462
08/05/2002,8.11538461538462
08/12/2002,8.11538461538462
08/19/2002,8.11538461538462
08/26/2002,8.11538461538462
09/02/2002,8.11538461538462
09/09/2002,8.11538461538462
09/16/2002,8.11538461538462
09/23/2002,8.11538461538462
09/30/2002,8.11538461538462
10/07/2002,8.11538461538462
10/14/2002,8.11538461538462
10/21/2002,8.11538461538462
10/28/2002,8.11538461538462
11/04/2002,8.11538461538462
11/11/2002,8.11538461538462
11/18/2002,8.11538461538462
11/25/2002,8.11538461538462
12/02/2002,8.11538461538462
12/09/2002,8.11538461538462
12/16/2002,8.11538461538462
12/23/2002,8.11538461538462
12/30/2002,8.11538461538462
01/06/2003,8.30769230769231
01/13/2003,8.30769230769231
01/20/2003,8.30769230769231
01/27/2003,8.30769230769231
02/03/2003,8.30769230769231
02/10/2003,8.30769230769231
02/17/2003,8.30769230769231
02/24/2003,8.30769230769231
03/03/2003,8.30769230769231
03/10/2003,8.30769230769231
03/17/2003,8.30769230769231
03/24/2003,8.30769230769231
03/31/2003,8.30769230769231
04/07/2003,8.30769230769231
04/14/2003,8.30769230769231
04/21/2003,8.30769230769231
04/28/2003,8.30769230769231
05/05/2003,8.30769230769231
05/12/2003,8.30769230769231
05/19/2003,8.30769230769231
05/26/2003,8.30769230769231
06/02/2003,8.30769230769231
06/09/2003,8.30769230769231
06/16/2003,8.30769230769231
06/23/2003,8.30769230769231
06/30/2003,8.30769230769231
07/07/2003,8.30769230769231
07/14/2003,8.30769230769231
07/21/2003,8.30769230769231
07/28/2003,8.30769230769231
08/04/2003,8.30769230769231
08/11/2003,8.30769230769231
08/18/2003,8.30769230769231
08/25/2003,8.30769230769231
09/01/2003,8.30769230769231
09/08/2003,8.30769230769231
09/15/2003,8.30769230769231
09/22/2003,8.30769230769231
09/29/2003,8.30769230769231
10/06/2003,8.30769230769231
10/13/2003,8.30769230769231
10/20/2003,8.30769230769231
10/27/2003,8.30769230769231
11/03/2003,8.30769230769231
11/10/2003,8.30769230769231
11/17/2003,8.30769230769231
11/24/2003,8.30769230769231
12/01/2003,8.30769230769231
12/08/2003,8.30769230769231
12/15/2003,8.30769230769231
12/22/2003,8.30769230769231
12/29/2003,8.30769230769231
01/05/2004,11.6346153846154
01/12/2004,11.6346153846154
01/19/2004,11.6346153846154
01/26/2004,11.6346153846154
02/02/2004,11.6346153846154
02/09/2004,11.6346153846154
02/16/2004,11.6346153846154
02/23/2004,11.6346153846154
03/01/2004,11.6346153846154
03/08/2004,11.6346153846154
03/15/2004,11.6346153846154
03/22/2004,11.6346153846154
03/29/2004,11.6346153846154
04/05/2004,11.6346153846154
04/12/2004,11.6346153846154
04/19/2004,11.6346153846154
04/26/2004,11.6346153846154
05/03/2004,11.6346153846154
05/10/2004,11.6346153846154
05/17/2004,11.6346153846154
05/24/2004,11.6346153846154
05/31/2004,11.6346153846154
06/07/2004,11.6346153846154
06/14/2004,11.6346153846154
06/21/2004,11.6346153846154
06/28/2004,11.6346153846154
07/05/2004,11.6346153846154
07/12/2004,11.6346153846154
07/19/2004,11.6346153846154
07/26/2004,11.6346153846154
08/02/2004,11.6346153846154
08/09/2004,11.6346153846154
08/16/2004,11.6346153846154
08/23/2004,11.6346153846154
08/30/2004,11.6346153846154
09/06/2004,11.6346153846154
09/13/2004,11.6346153846154
09/20/2004,11.6346153846154
09/27/2004,11.6346153846154
10/04/2004,11.6346153846154
10/11/2004,11.6346153846154
10/18/2004,11.6346153846154
10/25/2004,11.6346153846154
11/01/2004,11.6346153846154
11/08/2004,11.6346153846154
11/15/2004,11.6346153846154
11/22/2004,11.6346153846154
11/29/2004,11.6346153846154
12/06/2004,11.6346153846154
12/13/2004,11.6346153846154
12/20/2004,11.6346153846154
12/27/2004,11.6346153846154
01/03/2005,14.8653846153846
01/10/2005,14.8653846153846
01/17/2005,14.8653846153846
01/24/2005,14.8653846153846
01/31/2005,14.8653846153846
02/07/2005,14.8653846153846
02/14/2005,14.8653846153846
02/21/2005,14.8653846153846
02/28/2005,14.8653846153846
03/07/2005,14.8653846153846
03/14/2005,14.8653846153846
03/21/2005,14.8653846153846
03/28/2005,14.8653846153846
04/04/2005,14.8653846153846
04/11/2005,14.8653846153846
04/18/2005,14.8653846153846
04/25/2005,14.8653846153846
05/02/2005,14.8653846153846
05/09/2005,14.8653846153846
05/16/2005,14.8653846153846
05/23/2005,14.8653846153846
05/30/2005,14.8653846153846
06/06/2005,14.8653846153846
06/13/2005,14.8653846153846
06/20/2005,14.8653846153846
06/27/2005,14.8653846153846
07/04/2005,14.8653846153846
07/11/2005,14.8653846153846
07/18/2005,14.8653846153846
07/25/2005,14.8653846153846
08/01/2005,14.8653846153846
08/08/2005,14.8653846153846
08/15/2005,14.8653846153846
08/22/2005,14.8653846153846
08/29/2005,14.8653846153846
09/05/2005,14.8653846153846
09/12/2005,14.8653846153846
09/19/2005,14.8653846153846
09/26/2005,14.8653846153846
10/03/2005,14.8653846153846
10/10/2005,14.8653846153846
10/17/2005,14.8653846153846
10/24/2005,14.8653846153846
10/31/2005,14.8653846153846
11/07/2005,14.8653846153846
11/14/2005,14.8653846153846
11/21/2005,14.8653846153846
11/28/2005,14.8653846153846
12/05/2005,14.8653846153846
12/12/2005,14.8653846153846
12/19/2005,14.8653846153846
12/26/2005,14.8653846153846
01/02/2006,19.7884615384615
01/09/2006,19.7884615384615
01/16/2006,19.7884615384615
01/23/2006,19.7884615384615
01/30/2006,19.7884615384615
02/06/2006,19.7884615384615
02/13/2006,19.7884615384615
02/20/2006,19.7884615384615
02/27/2006,19.7884615384615
03/06/2006,19.7884615384615
03/13/2006,19.7884615384615
03/20/2006,19.7884615384615
03/27/2006,19.7884615384615
04/03/2006,19.7884615384615
04/10/2006,19.7884615384615
04/17/2006,19.7884615384615
04/24/2006,19.7884615384615
05/01/2006,19.7884615384615
05/08/2006,19.7884615384615
05/15/2006,19.7884615384615
05/22/2006,19.7884615384615
05/29/2006,19.7884615384615
06/05/2006,19.7884615384615
06/12/2006,19.7884615384615
06/19/2006,19.7884615384615
06/26/2006,19.7884615384615
07/03/2006,19.7884615384615
07/10/2006,19.7884615384615
07/17/2006,19.7884615384615
07/24/2006,19.7884615384615
07/31/2006,19.7884615384615
08/07/2006,19.7884615384615
08/14/2006,19.7884615384615
08/21/2006,19.7884615384615
08/28/2006,19.7884615384615
09/04/2006,19.7884615384615
09/11/2006,19.7884615384615
09/18/2006,19.7884615384615
09/25/2006,19.7884615384615
10/02/2006,19.7884615384615
10/09/2006,19.7884615384615
10/16/2006,19.7884615384615
10/23/2006,19.7884615384615
10/30/2006,19.7884615384615
11/06/2006,19.7884615384615
11/13/2006,19.7884615384615
11/20/2006,19.7884615384615
11/27/2006,19.7884615384615
12/04/2006,19.7884615384615
12/11/2006,19.7884615384615
12/18/2006,19.7884615384615
12/25/2006,19.7884615384615
01/01/2007,19.3396226415094
01/08/2007,19.3396226415094
01/15/2007,19.3396226415094
01/22/2007,19.3396226415094
01/29/2007,19.3396226415094
02/05/2007,19.3396226415094
02/12/2007,19.3396226415094
02/19/2007,19.3396226415094
02/26/2007,19.3396226415094
03/05/2007,19.3396226415094
03/12/2007,19.3396226415094
03/19/2007,19.3396226415094
03/26/2007,19.3396226415094
04/02/2007,19.3396226415094
04/09/2007,19.3396226415094
04/16/2007,19.3396226415094
04/23/2007,19.3396226415094
04/30/2007,19.3396226415094
05/07/2007,19.3396226415094
05/14/2007,19.3396226415094
05/21/2007,19.3396226415094
05/28/2007,19.3396226415094
06/04/2007,19.3396226415094
06/11/2007,19.3396226415094
06/18/2007,19.3396226415094
06/25/2007,19.3396226415094
07/02/2007,19.3396226415094
07/09/2007,19.3396226415094
07/16/2007,19.3396226415094
07/23/2007,19.3396226415094
07/30/2007,19.3396226415094
08/06/2007,19.3396226415094
08/13/2007,19.3396226415094
08/20/2007,19.3396226415094
08/27/2007,19.3396226415094
09/03/2007,19.3396226415094
09/10/2007,19.3396226415094
09/17/2007,19.3396226415094
09/24/2007,19.3396226415094
10/01/2007,19.3396226415094
10/08/2007,19.3396226415094
10/15/2007,19.3396226415094
10/22/2007,19.3396226415094
10/29/2007,19.3396226415094
11/05/2007,19.3396226415094
11/12/2007,19.3396226415094
11/19/2007,19.3396226415094
11/26/2007,19.3396226415094
12/03/2007,19.3396226415094
12/10/2007,19.3396226415094
12/17/2007,19.3396226415094
12/24/2007,19.3396226415094
12/31/2007,19.3396226415094
01/07/2008,25.4423076923077
01/14/2008,25.4423076923077
01/21/2008,25.4423076923077
01/28/2008,25.4423076923077
02/04/2008,25.4423076923077
02/11/2008,25.4423076923077
02/18/2008,25.4423076923077
02/25/2008,25.4423076923077
03/03/2008,25.4423076923077
03/10/2008,25.4423076923077
03/17/2008,25.4423076923077
03/24/2008,25.4423076923077
03/31/2008,25.4423076923077
04/07/2008,25.4423076923077
04/14/2008,25.4423076923077
04/21/2008,25.4423076923077
04/28/2008,25.4423076923077
05/05/2008,25.4423076923077
05/12/2008,25.4423076923077
05/19/2008,25.4423076923077
05/26/2008,25.4423076923077
