Date,fuel_consumption,petroleum_imports_crudeOil,Taxes_on_Customs_and_Other_Import Duties ,New Vehicle Registrations,No.of Vessels Colombo,Imports of Refined Products,Tax income profits_gains,Tax Goods & Services,Diesel User Price,Petrol User Price,Consumption: Oil: Asia Pacific: Sri Lanka,Sales 90 Octane,Sales 95 Octane,Sales Auto Diesel
9/10/2001,0.818,6.679245283,12.70701859,1248.5,88.75,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
9/17/2001,0.818,6.679245283,12.70701859,1248.5,88.75,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
9/24/2001,0.818,6.679245283,12.70701859,1248.5,88.75,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
10/1/2001,0.818,6.679245283,12.70701859,1088.8,67.6,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
10/8/2001,0.818,6.679245283,12.70701859,1088.8,67.6,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
10/15/2001,0.818,6.679245283,12.70701859,1088.8,67.6,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
10/22/2001,0.818,6.679245283,12.70701859,1088.8,67.6,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
10/29/2001,0.818,6.679245283,12.70701859,1088.8,67.6,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
11/5/2001,0.818,6.679245283,12.70701859,1530,89.25,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
11/12/2001,0.818,6.679245283,12.70701859,1530,89.25,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
11/19/2001,0.818,6.679245283,12.70701859,1530,89.25,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
11/26/2001,0.818,6.679245283,12.70701859,1530,89.25,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
12/3/2001,0.818,6.679245283,12.70701859,851.6,85.75,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
12/10/2001,0.818,6.679245283,12.70701859,851.6,85.75,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
12/17/2001,0.818,6.679245283,12.70701859,851.6,85.75,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
12/24/2001,0.818,6.679245283,12.70701859,851.6,85.75,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
12/31/2001,0.818,6.679245283,12.70701859,851.6,67.6,5.754716981,653.509434,0.229156095,0.03509434,0.067924528,1.388798359,4.603773585,0.094339623,31.98076923
1/7/2002,0.857,8.115384615,12.76320417,1529.75,67.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
1/14/2002,0.857,8.115384615,12.76320417,1529.75,67.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
1/21/2002,0.857,8.115384615,12.76320417,1529.75,67.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
1/28/2002,0.857,8.115384615,12.76320417,1529.75,67.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
2/4/2002,0.857,8.115384615,12.76320417,1622,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
2/11/2002,0.857,8.115384615,12.76320417,1622,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
2/18/2002,0.857,8.115384615,12.76320417,1622,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
2/25/2002,0.857,8.115384615,12.76320417,1622,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
3/4/2002,0.857,8.115384615,12.76320417,1552.5,85.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
3/11/2002,0.857,8.115384615,12.76320417,1552.5,85.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
3/18/2002,0.857,8.115384615,12.76320417,1552.5,85.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
3/25/2002,0.857,8.115384615,12.76320417,1552.5,85.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
4/1/2002,0.857,8.115384615,12.76320417,1629.8,71.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
4/8/2002,0.857,8.115384615,12.76320417,1629.8,71.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
4/15/2002,0.857,8.115384615,12.76320417,1629.8,71.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
4/22/2002,0.857,8.115384615,12.76320417,1629.8,71.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
4/29/2002,0.857,8.115384615,12.76320417,1629.8,71.6,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
5/6/2002,0.857,8.115384615,12.76320417,2111,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
5/13/2002,0.857,8.115384615,12.76320417,2111,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
5/20/2002,0.857,8.115384615,12.76320417,2111,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
5/27/2002,0.857,8.115384615,12.76320417,2111,83,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
6/3/2002,0.857,8.115384615,12.76320417,1739.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
6/10/2002,0.857,8.115384615,12.76320417,1739.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
6/17/2002,0.857,8.115384615,12.76320417,1739.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
6/24/2002,0.857,8.115384615,12.76320417,1739.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
