Date,petrol_price,formula_price_with_tax_petrol,formula_price_without_tax_petrol,brent_price_with_tax_petrol,brent_price_without_tax_petrol,diesel_price,formula_price_with_tax_diesel,formula_price_without_tax_diesel,brent_price_with_tax_diesel,brent_price_without_tax_diesel,Price,Open,High,Low,Vol.,Change %,central_bank_total_assets ,currency_in_circulation,gov_deposits_with_cb ,srr_commercial_bank_deposits,reserve_money,narrow_money_m1,broad_money_m2,broad_money_m2b,quasi_money_public,net_foreign_assets,credit_to_government_net, credit_to_public_corporations,credit_to_private_sector,total_domestic_credit,broad_money_m4,net_credit_to_gov_central_bank,net_credit_to_gov_commercial_total,net_credit_to_gov_commercial_dbu,net_credit_to_gov_commercial_obu,credit_to_sobes_dbu,credit_to_sobes_obu,credit_to_private_dbu,credit_to_private_obu,m2b_other_items_net,nfa_monetary_authorities,nfa_commercial_banks_total,nfa_commercial_banks_dbu,nfa_commercial_banks_obu,reserve_money_yoy_pct,narrow_money_m1_yoy_pct,broad_money_m2_yoy_pct ,broad_money_m2b_yoy_pct,money_supply_foreign_assets_yoy_pct ,nfa_monetary_authorities_yoy_pct,nfa_commercial_banks_total_yoy_pct ,nfa_commercial_banks_dbu_yoy_pct,nfa_commercial_banks_obu_yoy_pct,net_domestic_assets_yoy_pct ,net_credit_to_gov_yoy_pct,net_credit_to_gov_cb_yoy_pct,net_credit_to_gov_commercial_total_yoy_pct,net_credit_to_gov_commercial_dbu_yoy_pct,net_credit_to_gov_commercial_obu_yoy_pct,credit_to_public_corporations_yoy_pct,credit_to_sobes_dbu_yoy_pct,credit_to_sobes_obu_yoy_pct,credit_to_private_sector_yoy_pct,credit_to_private_dbu_yoy_pct,credit_to_private_obu_yoy_pct,m2b_other_items_net_yoy_pct,annual_cpi_inflation_rate,policy_rate,GDP_growth_imports,consumerprice_inflation,budget_surplus,treasury_bonds
2021-04-01,137.0,141.08,102.15,132.63,94.24,104.0,107.74,95.17,103.92,91.59,186.0,186.5,187.0,186.5,0.02K,0.00%,2250311.52,911082.16,36.33,120025.89,1031144.38,1244199.55,8944644.37,9947334.17,8703134.63,-430689.37,4965054.87,1093379.25,6445915.27,12504349.39,12154101.21,1070547.28,3894507.59,3454526.78,439980.81,648935.34,444443.91,5981867.38,464047.88,-2126325.84,342922.57,-773611.94,-489754.23,-283857.71,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,4.5,-20.068,6.153945084,-1667688.0,5719504.0
2021-05-01,137.0,141.46,102.51,131.91,93.56,104.0,106.01,93.55,103.21,90.93,187.5,187.0,188.5,187.0,0.02K,0.81%,2276792.74,920335.18,31.88,115642.95,1036010.01,1246550.97,9016772.21,10032973.23,8786422.26,-428893.69,5014282.51,1112729.56,6501496.9,12628508.96,12264719.36,1054611.67,3959670.84,3520192.61,439478.22,650602.3,462127.25,6029091.16,472405.74,-2166642.05,349093.88,-777987.57,-480871.13,-297116.44,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,4.5,-20.068,6.153945084,-1667688.0,5719504.0
2021-06-01,157.0,146.63,107.35,137.57,98.86,111.0,113.76,100.8,108.76,96.12,187.5,188.5,188.875,188.25,0.01K,0.00%,2281216.72,950083.44,29.57,114951.25,1065064.25,1293330.2,9136219.72,10164762.77,8871432.58,-481345.81,5123878.77,1132101.54,6584906.21,12840886.52,12401559.74,1178857.74,3945021.03,3503297.71,441723.32,656041.03,476060.52,6100336.32,484569.89,-2194777.94,306555.58,-787901.39,-475995.91,-311905.48,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,4.5,-20.068,6.153945084,-1667688.0,5719504.0
2021-07-01,157.0,150.35,110.83,143.01,103.96,111.0,118.69,105.41,114.11,101.13,187.0,188.5,188.5,187.5,0.03K,-0.27%,2324344.06,942804.05,29.1,121032.78,1063865.93,1316959.57,9269581.34,10303589.29,8986629.72,-699373.39,5411221.09,1140883.4,6661461.56,13213566.05,12563386.52,1418003.76,3993217.32,3565591.52,427625.81,653682.06,487201.34,6163140.81,498320.76,-2210603.37,10254.36,-709627.75,-433361.83,-276265.91,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,4.5,-20.068,6.153945084,-1667688.0,5719504.0
2021-08-01,157.0,152.88,113.2,144.97,105.8,111.0,120.93,107.51,116.04,102.93,187.0,187.0,188.0,187.0,0.03K,0.00%,2556148.69,967151.35,29.0,122085.29,1089265.64,1355196.49,9412400.62,10513644.48,9158448.0,-700954.67,5531433.76,1136866.81,6795526.8,13463827.36,12789924.45,1534408.88,3997024.88,3584702.35,412322.52,656301.65,480565.15,6267096.84,528429.96,-2249228.21,-83880.5,-617074.17,-345316.48,-271757.68,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,5.0,-20.068,6.153945084,-1667688.0,5719504.0
2021-09-01,157.0,151.81,112.21,139.88,101.03,111.0,114.63,101.61,111.03,98.24,187.0,187.0,188.0,187.0,0.03K,0.00%,2617811.49,996379.85,31.75,299544.19,1295955.79,1318748.42,9448987.06,10488100.25,9169351.83,-722135.41,5594599.24,1123090.82,6824585.5,13542275.56,12741979.11,1830864.66,3763734.58,3373834.45,389900.12,650746.28,472344.54,6333794.18,490791.33,-2332039.9,-158710.38,-563425.03,-381576.99,-181848.04,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,5.0,-20.068,6.153945084,-1667688.0,5719504.0
2021-10-01,157.0,159.15,119.08,148.6,109.2,111.0,125.65,111.92,119.6,106.26,187.0,187.0,188.0,187.0,0.03K,0.00%,2703422.9,987573.31,36.62,298830.96,1286440.89,1372671.14,9535950.16,10581729.53,9209058.39,-836562.5,5665030.77,1193767.79,6859642.66,13718441.21,12873441.18,1880145.12,3784885.64,3417754.5,367131.14,832708.47,361059.32,6358454.37,501188.29,-2300149.19,-252574.06,-583988.44,-358154.1,-225834.34,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,5.0,-20.068,6.153945084,-1667688.0,5719504.0
2021-11-01,157.0,178.64,137.32,160.88,120.69,111.0,144.9,129.93,131.67,117.55,188.0,188.0,189.25,188.0,0.02K,0.53%,2697059.14,969394.39,30.77,318377.71,1287802.87,1355116.97,9510655.14,10545784.87,9190667.89,-906347.26,5713791.71,1184731.87,6920130.24,13818653.81,12862019.02,1993698.69,3720093.02,3331541.03,388551.99,897439.71,287292.16,6420117.86,500012.38,-2366521.69,-329910.93,-576436.32,-382968.23,-193468.09,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,5.0,-20.068,6.153945084,-1667688.0,5719504.0
2021-12-01,177.0,178.45,137.15,159.66,119.55,121.0,145.48,130.47,130.47,116.43,189.0,189.0,190.0,189.0,0.02K,0.53%,3046278.16,1005099.07,5.46,300704.16,1305808.69,1459895.46,9638905.36,10647308.96,9187413.49,-981975.76,5832420.0,1188103.21,6981427.87,14001951.08,12985353.35,2094094.62,3738325.38,3361339.95,376985.43,972821.07,215282.14,6498862.35,482565.53,-2372666.36,-387262.54,-594713.22,-381513.62,-213199.6,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,6.154,5.0,-20.068,6.153945084,-1667688.0,5719504.0
2022-01-01,177.0,164.38,123.97,148.41,109.01,121.0,133.12,118.91,119.4,106.08,189.0,189.0,190.0,189.0,0.02K,0.53%,3209064.33,1025301.9,3.37,312184.22,1337489.49,1500352.39,9650968.29,10667725.55,9167373.15,-1215586.95,6053564.91,1191552.9,7017770.66,14262888.47,13058131.29,2387377.23,3666187.69,3333461.94,332725.75,1021568.38,169984.52,6529502.76,488267.91,-2379575.98,-662717.26,-552869.68,-400138.63,-152731.06,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,7.015,5.5,4.103,7.014780712,-2057925.132,6967928.0
2022-02-01,177.0,180.39,138.97,163.71,123.34,121.0,151.99,136.56,134.44,120.15,189.0,189.0,190.0,189.0,0.02K,0.53%,3167294.88,1029673.27,28.1,294533.08,1324234.45,1507095.33,9735818.02,10755111.29,9248015.95,-1274999.53,6099936.58,1237504.97,7051283.78,14388725.33,13166522.05,2442394.05,3657542.53,3352195.42,305347.11,1074260.64,163244.32,6578286.04,472997.74,-2358614.51,-734241.46,-540758.08,-444698.68,-96059.4,35.39,25.6,11.83,11.44,-230.62,-286.42,30.61,8.11,67.48,19.86,27.13,145.11,-3.83,-0.38,-30.35,14.58,73.38,-64.54,12.35,12.86,5.69,-11.32,7.015,5.5,4.103,7.014780712,-2057925.132,6967928.0
2022-03-01,254.0,199.33,156.7,177.69,136.44,176.0,169.91,153.32,148.19,133.01,202.75,201.5,202.875,201.5,0.03K,0.00%,3629874.56,1099324.47,19.49,287356.17,1386700.13,1589613.74,10073392.15,11575558.64,9985944.9,-1888714.12,6555681.88,1547833.51,7533535.55,15637050.94,13992378.07,2682532.93,3873148.94,3429739.72,443409.22,1307534.5,240299.01,6839522.87,694012.68,-2172778.18,-1203377.27,-685336.85,-607198.95,-78137.9,34.81,28.94,13.69,17.65,-339.29,-452.86,11.11,-22.34,71.55,31.12,32.66,145.61,0.61,0.55,1.08,40.91,106.97,-48.51,17.93,15.42,50.16,-0.6,7.015,6.5,4.103,7.014780712,-2057925.132,6967928.0
2022-04-01,338.0,284.09,236.08,255.83,209.62,289.0,265.67,242.9,224.74,204.61,202.75,201.5,202.875,201.5,0.03K,0.00%,3924589.14,1170677.09,19.54,311108.32,1481804.94,1635132.75,10193425.62,11940607.97,10305475.22,-2195170.96,6569414.84,1725013.6,7752831.09,16047259.53,14355898.28,2889417.52,3679997.32,3179505.4,500491.93,1456511.87,268501.73,6955307.13,797523.96,-1911480.59,-1462227.89,-732943.08,-703036.13,-29906.95,43.7,31.42,13.96,20.04,-409.69,-526.4,5.26,-43.55,89.46,36.21,32.31,169.9,-5.51,-7.96,13.75,57.77,124.45,-39.59,20.27,16.27,71.86,10.1,7.015,13.5,4.103,7.014780712,-2057925.132,6967928.0
